|dates|Fayette_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Fayette_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Fayette_Kentucky_UnitedStates.Male_Total_Population.data|Fayette_Kentucky_UnitedStates.Male_Total_Population.missing|Fayette_Kentucky_UnitedStates.Female_Total_Population.data|Fayette_Kentucky_UnitedStates.Female_Total_Population.missing|Fayette_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Fayette_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-18|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-19|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-20|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-21|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-22|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-23|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-24|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-25|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-26|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-27|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-28|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-29|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-30|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-10-31|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-01|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-02|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-03|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-04|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-05|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-06|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-07|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-08|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-09|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-10|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-11|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-12|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-13|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-14|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-15|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-16|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-17|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-18|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-19|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-20|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-21|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-22|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-23|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-24|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-25|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-26|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-27|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-28|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-29|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-11-30|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-01|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-02|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-03|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-04|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-05|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-06|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-07|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-08|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-09|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-10|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-11|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-12|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-13|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-14|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-15|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-16|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-17|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-18|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-19|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-20|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-21|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-22|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-23|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-24|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-25|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-26|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-27|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-28|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-29|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-30|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2021-12-31|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-01|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-02|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-03|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-04|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-05|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-06|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-07|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-08|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-09|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-10|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-11|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-12|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-13|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-14|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-15|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-16|43214.0|0|158892.0|0|164888.0|0|67639.0|0
0|2022-01-17|43214.0|0|158892.0|0|164888.0|0|67639.0|0
