|dates|Lancaster_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lancaster_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lancaster_Pennsylvania_UnitedStates.Male_Total_Population.data|Lancaster_Pennsylvania_UnitedStates.Male_Total_Population.missing|Lancaster_Pennsylvania_UnitedStates.Female_Total_Population.data|Lancaster_Pennsylvania_UnitedStates.Female_Total_Population.missing|Lancaster_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Lancaster_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-18|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-19|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-20|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-21|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-22|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-23|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-24|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-25|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-26|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-27|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-28|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-29|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-30|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-10-31|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-11-01|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-11-02|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-11-03|97560.0|0|266316.0|0|277241.0|0|127967.0|0
0|2021-11-04|97560.0|0|266316.0|0|277241.0|0|127967.0|0
