|dates|Sutter_California_UnitedStates.JHU_ConfirmedCases.data|Sutter_California_UnitedStates.JHU_ConfirmedCases.missing|Sutter_California_UnitedStates.NYT_ConfirmedCases.data|Sutter_California_UnitedStates.NYT_ConfirmedCases.missing|Sutter_California_UnitedStates.JHU_ConfirmedDeaths.data|Sutter_California_UnitedStates.JHU_ConfirmedDeaths.missing|Sutter_California_UnitedStates.JHU_ConfirmedRecoveries.data|Sutter_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13864.0|0|13775.0|0|172.0|0|0.0|100
0|2021-10-18|13880.0|0|13847.0|0|172.0|0|0.0|100
0|2021-10-19|13894.0|0|13861.0|0|172.0|0|0.0|100
0|2021-10-20|13918.0|0|13883.0|0|174.0|0|0.0|100
0|2021-10-21|13945.0|0|13913.0|0|175.0|0|0.0|100
0|2021-10-22|13949.0|0|13937.0|0|175.0|0|0.0|100
0|2021-10-23|13949.0|0|13937.0|0|175.0|0|0.0|100
0|2021-10-24|13950.0|0|13937.0|0|175.0|0|0.0|100
0|2021-10-25|14059.0|0|14013.0|0|175.0|0|0.0|100
0|2021-10-26|14080.0|0|14042.0|0|176.0|0|0.0|100
0|2021-10-27|14096.0|0|14060.0|0|176.0|0|0.0|100
0|2021-10-28|14115.0|0|14089.0|0|177.0|0|0.0|100
0|2021-10-29|14116.0|0|14108.0|0|178.0|0|0.0|100
0|2021-10-30|14116.0|0|14108.0|0|178.0|0|0.0|100
0|2021-10-31|14181.0|0|14108.0|0|178.0|0|0.0|100
0|2021-11-01|14202.0|0|14173.0|0|179.0|0|0.0|100
0|2021-11-02|14220.0|0|14187.0|0|179.0|0|0.0|100
0|2021-11-03|14228.0|0|14203.0|0|179.0|0|0.0|100
0|2021-11-04|14260.0|0|14228.0|0|179.0|0|0.0|100
0|2021-11-05|14260.0|0|14260.0|0|180.0|0|0.0|100
0|2021-11-06|14260.0|0|14260.0|0|180.0|0|0.0|100
0|2021-11-07|14260.0|0|14260.0|0|180.0|0|0.0|100
0|2021-11-08|14316.0|0|14316.0|0|180.0|0|0.0|100
0|2021-11-09|14328.0|0|14328.0|0|180.0|0|0.0|100
0|2021-11-10|14328.0|0|14340.0|0|180.0|0|0.0|100
0|2021-11-11|14352.0|0|14352.0|0|181.0|0|0.0|100
0|2021-11-12|14352.0|0|14352.0|0|181.0|0|0.0|100
0|2021-11-13|14376.0|0|14376.0|0|181.0|0|0.0|100
0|2021-11-14|14376.0|0|14376.0|0|181.0|0|0.0|100
0|2021-11-15|14390.0|0|14390.0|0|181.0|0|0.0|100
0|2021-11-16|14402.0|0|14402.0|0|181.0|0|0.0|100
0|2021-11-17|14417.0|0|14417.0|0|181.0|0|0.0|100
0|2021-11-18|14431.0|0|14431.0|0|181.0|0|0.0|100
0|2021-11-19|14441.0|0|14441.0|0|181.0|0|0.0|100
0|2021-11-20|14441.0|0|14441.0|0|181.0|0|0.0|100
0|2021-11-21|14441.0|0|14441.0|0|181.0|0|0.0|100
0|2021-11-22|14478.0|0|14478.0|0|181.0|0|0.0|100
0|2021-11-23|14492.0|0|14492.0|0|181.0|0|0.0|100
