|dates|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Hardy_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Hardy_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Hardy_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2329.0|0|2329.0|0|28.0|0|0.0|100
0|2021-10-18|2336.0|0|2336.0|0|28.0|0|0.0|100
0|2021-10-19|2345.0|0|2345.0|0|28.0|0|0.0|100
0|2021-10-20|2353.0|0|2353.0|0|29.0|0|0.0|100
0|2021-10-21|2364.0|0|2364.0|0|29.0|0|0.0|100
0|2021-10-22|2370.0|0|2370.0|0|29.0|0|0.0|100
0|2021-10-23|2377.0|0|2377.0|0|29.0|0|0.0|100
0|2021-10-24|2384.0|0|2384.0|0|29.0|0|0.0|100
0|2021-10-25|2394.0|0|2394.0|0|30.0|0|0.0|100
0|2021-10-26|2403.0|0|2403.0|0|30.0|0|0.0|100
0|2021-10-27|2412.0|0|2412.0|0|31.0|0|0.0|100
0|2021-10-28|2417.0|0|2417.0|0|31.0|0|0.0|100
0|2021-10-29|2430.0|0|2430.0|0|31.0|0|0.0|100
0|2021-10-30|2437.0|0|2437.0|0|31.0|0|0.0|100
0|2021-10-31|2442.0|0|2442.0|0|31.0|0|0.0|100
0|2021-11-01|2444.0|0|2444.0|0|31.0|0|0.0|100
0|2021-11-02|2453.0|0|2453.0|0|31.0|0|0.0|100
0|2021-11-03|2467.0|0|2467.0|0|31.0|0|0.0|100
0|2021-11-04|2475.0|0|2475.0|0|31.0|0|0.0|100
0|2021-11-05|2482.0|0|2482.0|0|31.0|0|0.0|100
0|2021-11-06|2497.0|0|2497.0|0|31.0|0|0.0|100
0|2021-11-07|2504.0|0|2504.0|0|31.0|0|0.0|100
0|2021-11-08|2518.0|0|2518.0|0|31.0|0|0.0|100
