|dates|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Fresno_California_UnitedStates.NYT_ConfirmedDeaths.data|Fresno_California_UnitedStates.NYT_ConfirmedDeaths.missing|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Fresno_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2051.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2063.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2063.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2073.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2084.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2094.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2094.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2094.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2094.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2112.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2122.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2128.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2131.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2131.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2131.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2147.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2149.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2158.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2166.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2170.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2170.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2170.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2179.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2179.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2188.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2202.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2202.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2205.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2205.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2209.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2210.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2218.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|2230.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|2233.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|2233.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|2233.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|2242.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|2243.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|2252.0|0|0.0|100|0.0|100
0|2021-11-30|0.0|100|2254.0|0|0.0|100|0.0|100
0|2021-12-01|0.0|100|2259.0|0|0.0|100|0.0|100
0|2021-12-02|0.0|100|2264.0|0|0.0|100|0.0|100
0|2021-12-03|0.0|100|2270.0|0|0.0|100|0.0|100
