|dates|Macomb_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Macomb_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Macomb_Michigan_UnitedStates.Male_Total_Population.data|Macomb_Michigan_UnitedStates.Male_Total_Population.missing|Macomb_Michigan_UnitedStates.Female_Total_Population.data|Macomb_Michigan_UnitedStates.Female_Total_Population.missing|Macomb_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Macomb_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-18|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-19|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-20|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-21|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-22|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-23|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-24|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-25|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-26|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-27|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-28|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-29|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-30|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-10-31|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-01|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-02|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-03|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-04|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-05|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-06|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-07|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-08|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-09|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-10|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-11|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-12|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-13|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-14|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-15|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-16|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-17|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-18|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-19|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-20|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-21|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-22|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-23|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-24|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-25|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-26|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-27|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-28|148636.0|0|425844.0|0|448915.0|0|184009.0|0
0|2021-11-29|148636.0|0|425844.0|0|448915.0|0|184009.0|0
