|dates|Union_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Union_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Union_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Union_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Union_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Union_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Union_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Union_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2578.0|0|2578.0|0|44.0|0|0.0|100
0|2021-10-18|2578.0|0|2595.0|0|44.0|0|0.0|100
0|2021-10-19|2578.0|0|2605.0|0|44.0|0|0.0|100
0|2021-10-20|2622.0|0|2622.0|0|44.0|0|0.0|100
0|2021-10-21|2633.0|0|2633.0|0|44.0|0|0.0|100
0|2021-10-22|2638.0|0|2638.0|0|45.0|0|0.0|100
0|2021-10-23|2638.0|0|2638.0|0|45.0|0|0.0|100
0|2021-10-24|2638.0|0|2638.0|0|45.0|0|0.0|100
0|2021-10-25|2638.0|0|2638.0|0|45.0|0|0.0|100
0|2021-10-26|2652.0|0|2652.0|0|45.0|0|0.0|100
0|2021-10-27|2662.0|0|2662.0|0|45.0|0|0.0|100
0|2021-10-28|2671.0|0|2671.0|0|45.0|0|0.0|100
0|2021-10-29|2673.0|0|2673.0|0|45.0|0|0.0|100
0|2021-10-30|2673.0|0|2673.0|0|45.0|0|0.0|100
0|2021-10-31|2673.0|0|2673.0|0|45.0|0|0.0|100
0|2021-11-01|2687.0|0|2687.0|0|46.0|0|0.0|100
0|2021-11-02|2698.0|0|2698.0|0|46.0|0|0.0|100
0|2021-11-03|2708.0|0|2708.0|0|46.0|0|0.0|100
0|2021-11-04|2713.0|0|2713.0|0|46.0|0|0.0|100
0|2021-11-05|2718.0|0|2718.0|0|46.0|0|0.0|100
0|2021-11-06|2718.0|0|2718.0|0|46.0|0|0.0|100
0|2021-11-07|2718.0|0|2718.0|0|46.0|0|0.0|100
0|2021-11-08|2727.0|0|2727.0|0|46.0|0|0.0|100
0|2021-11-09|2739.0|0|2739.0|0|46.0|0|0.0|100
0|2021-11-10|2739.0|0|2743.0|0|46.0|0|0.0|100
0|2021-11-11|2743.0|0|2743.0|0|46.0|0|0.0|100
0|2021-11-12|2756.0|0|2756.0|0|46.0|0|0.0|100
0|2021-11-13|2756.0|0|2756.0|0|46.0|0|0.0|100
0|2021-11-14|2756.0|0|2756.0|0|46.0|0|0.0|100
0|2021-11-15|2774.0|0|2774.0|0|46.0|0|0.0|100
0|2021-11-16|2779.0|0|2779.0|0|46.0|0|0.0|100
0|2021-11-17|2783.0|0|2783.0|0|46.0|0|0.0|100
0|2021-11-18|2788.0|0|2788.0|0|46.0|0|0.0|100
0|2021-11-19|2800.0|0|2800.0|0|46.0|0|0.0|100
0|2021-11-20|2800.0|0|2800.0|0|46.0|0|0.0|100
0|2021-11-21|2800.0|0|2800.0|0|46.0|0|0.0|100
0|2021-11-22|2809.0|0|2809.0|0|46.0|0|0.0|100
