|dates|Marshall_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Marshall_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4967.0|0|4967.0|0|76.0|0|0.0|100
0|2021-10-18|4975.0|0|4975.0|0|77.0|0|0.0|100
0|2021-10-19|4984.0|0|4984.0|0|77.0|0|0.0|100
0|2021-10-20|4989.0|0|4989.0|0|77.0|0|0.0|100
0|2021-10-21|5004.0|0|5004.0|0|77.0|0|0.0|100
0|2021-10-22|5005.0|0|5005.0|0|77.0|0|0.0|100
0|2021-10-23|5005.0|0|5005.0|0|77.0|0|0.0|100
0|2021-10-24|5005.0|0|5005.0|0|77.0|0|0.0|100
0|2021-10-25|5013.0|0|5013.0|0|78.0|0|0.0|100
0|2021-10-26|5016.0|0|5016.0|0|78.0|0|0.0|100
0|2021-10-27|5020.0|0|5020.0|0|78.0|0|0.0|100
0|2021-10-28|5027.0|0|5027.0|0|78.0|0|0.0|100
0|2021-10-29|5031.0|0|5031.0|0|78.0|0|0.0|100
0|2021-10-30|5031.0|0|5031.0|0|78.0|0|0.0|100
0|2021-10-31|5031.0|0|5031.0|0|78.0|0|0.0|100
0|2021-11-01|5038.0|0|5038.0|0|78.0|0|0.0|100
0|2021-11-02|5041.0|0|5041.0|0|78.0|0|0.0|100
0|2021-11-03|5046.0|0|5046.0|0|78.0|0|0.0|100
0|2021-11-04|5047.0|0|5047.0|0|79.0|0|0.0|100
0|2021-11-05|5049.0|0|5049.0|0|79.0|0|0.0|100
0|2021-11-06|5049.0|0|5049.0|0|79.0|0|0.0|100
0|2021-11-07|5049.0|0|5049.0|0|79.0|0|0.0|100
0|2021-11-08|5054.0|0|5054.0|0|79.0|0|0.0|100
0|2021-11-09|5061.0|0|5061.0|0|79.0|0|0.0|100
0|2021-11-10|5061.0|0|5074.0|0|79.0|0|0.0|100
0|2021-11-11|5074.0|0|5074.0|0|79.0|0|0.0|100
0|2021-11-12|5077.0|0|5077.0|0|80.0|0|0.0|100
0|2021-11-13|5077.0|0|5077.0|0|80.0|0|0.0|100
0|2021-11-14|5077.0|0|5077.0|0|80.0|0|0.0|100
0|2021-11-15|5091.0|0|5091.0|0|80.0|0|0.0|100
0|2021-11-16|5097.0|0|5097.0|0|80.0|0|0.0|100
0|2021-11-17|5114.0|0|5114.0|0|80.0|0|0.0|100
0|2021-11-18|5128.0|0|5128.0|0|80.0|0|0.0|100
0|2021-11-19|5132.0|0|5132.0|0|80.0|0|0.0|100
0|2021-11-20|5132.0|0|5132.0|0|80.0|0|0.0|100
0|2021-11-21|5132.0|0|5132.0|0|80.0|0|0.0|100
0|2021-11-22|5147.0|0|5147.0|0|80.0|0|0.0|100
0|2021-11-23|5155.0|0|5155.0|0|80.0|0|0.0|100
0|2021-11-24|5163.0|0|5163.0|0|80.0|0|0.0|100
0|2021-11-25|5163.0|0|5163.0|0|80.0|0|0.0|100
0|2021-11-26|5163.0|0|5163.0|0|80.0|0|0.0|100
0|2021-11-27|5163.0|0|5163.0|0|80.0|0|0.0|100
0|2021-11-28|5163.0|0|5163.0|0|80.0|0|0.0|100
0|2021-11-29|5187.0|0|5187.0|0|80.0|0|0.0|100
0|2021-11-30|5199.0|0|5199.0|0|80.0|0|0.0|100
0|2021-12-01|5221.0|0|5221.0|0|80.0|0|0.0|100
0|2021-12-02|5221.0|0|5233.0|0|80.0|0|0.0|100
0|2021-12-03|5239.0|0|5239.0|0|82.0|0|0.0|100
0|2021-12-04|5239.0|0|5239.0|0|82.0|0|0.0|100
0|2021-12-05|5239.0|0|5239.0|0|82.0|0|0.0|100
0|2021-12-06|5248.0|0|5248.0|0|83.0|0|0.0|100
0|2021-12-07|5261.0|0|5261.0|0|85.0|0|0.0|100
0|2021-12-08|5268.0|0|5268.0|0|85.0|0|0.0|100
0|2021-12-09|5286.0|0|5286.0|0|85.0|0|0.0|100
0|2021-12-10|5304.0|0|5304.0|0|85.0|0|0.0|100
0|2021-12-11|5304.0|0|5304.0|0|85.0|0|0.0|100
0|2021-12-12|5304.0|0|5304.0|0|85.0|0|0.0|100
0|2021-12-13|5323.0|0|5323.0|0|85.0|0|0.0|100
0|2021-12-14|5323.0|0|5326.0|0|85.0|0|0.0|100
0|2021-12-15|5338.0|0|5338.0|0|85.0|0|0.0|100
0|2021-12-16|5358.0|0|5358.0|0|85.0|0|0.0|100
0|2021-12-17|5371.0|0|5371.0|0|85.0|0|0.0|100
0|2021-12-18|5371.0|0|5371.0|0|85.0|0|0.0|100
0|2021-12-19|5371.0|0|5371.0|0|85.0|0|0.0|100
0|2021-12-20|5393.0|0|5393.0|0|85.0|0|0.0|100
0|2021-12-21|5435.0|0|5435.0|0|85.0|0|0.0|100
