|dates|Morgan_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Morgan_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2822.0|0|2822.0|0|6.0|0|0.0|100
0|2021-10-18|2829.0|0|2829.0|0|9.0|0|0.0|100
0|2021-10-19|2840.0|0|2840.0|0|9.0|0|0.0|100
0|2021-10-20|2842.0|0|2842.0|0|9.0|0|0.0|100
0|2021-10-21|2848.0|0|2848.0|0|9.0|0|0.0|100
0|2021-10-22|2849.0|0|2849.0|0|9.0|0|0.0|100
0|2021-10-23|2849.0|0|2849.0|0|9.0|0|0.0|100
0|2021-10-24|2849.0|0|2849.0|0|9.0|0|0.0|100
0|2021-10-25|2851.0|0|2851.0|0|9.0|0|0.0|100
0|2021-10-26|2853.0|0|2853.0|0|9.0|0|0.0|100
0|2021-10-27|2865.0|0|2865.0|0|9.0|0|0.0|100
0|2021-10-28|2873.0|0|2873.0|0|9.0|0|0.0|100
0|2021-10-29|2883.0|0|2883.0|0|9.0|0|0.0|100
0|2021-10-30|2883.0|0|2883.0|0|9.0|0|0.0|100
0|2021-10-31|2883.0|0|2883.0|0|9.0|0|0.0|100
0|2021-11-01|2892.0|0|2892.0|0|9.0|0|0.0|100
0|2021-11-02|2892.0|0|2897.0|0|9.0|0|0.0|100
0|2021-11-03|2908.0|0|2908.0|0|10.0|0|0.0|100
0|2021-11-04|2913.0|0|2913.0|0|10.0|0|0.0|100
0|2021-11-05|2914.0|0|2914.0|0|10.0|0|0.0|100
0|2021-11-06|2914.0|0|2914.0|0|10.0|0|0.0|100
0|2021-11-07|2914.0|0|2914.0|0|10.0|0|0.0|100
0|2021-11-08|2916.0|0|2916.0|0|10.0|0|0.0|100
0|2021-11-09|2917.0|0|2917.0|0|10.0|0|0.0|100
