|dates|Tipton_Indiana_UnitedStates.JHU_ConfirmedCases.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Tipton_Indiana_UnitedStates.NYT_ConfirmedCases.data|Tipton_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Tipton_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Tipton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2256.0|0|2261.0|0|59.0|0|0.0|100
0|2021-10-18|2266.0|0|2271.0|0|59.0|0|0.0|100
0|2021-10-19|2270.0|0|2275.0|0|59.0|0|0.0|100
0|2021-10-20|2272.0|0|2277.0|0|59.0|0|0.0|100
0|2021-10-21|2275.0|0|2280.0|0|59.0|0|0.0|100
0|2021-10-22|2281.0|0|2286.0|0|59.0|0|0.0|100
0|2021-10-23|2281.0|0|2286.0|0|59.0|0|0.0|100
0|2021-10-24|2281.0|0|2286.0|0|59.0|0|0.0|100
0|2021-10-25|2290.0|0|2295.0|0|59.0|0|0.0|100
0|2021-10-26|2293.0|0|2298.0|0|59.0|0|0.0|100
0|2021-10-27|2298.0|0|2303.0|0|59.0|0|0.0|100
0|2021-10-28|2299.0|0|2304.0|0|59.0|0|0.0|100
0|2021-10-29|2301.0|0|2306.0|0|59.0|0|0.0|100
0|2021-10-30|2301.0|0|2306.0|0|59.0|0|0.0|100
0|2021-10-31|2301.0|0|2306.0|0|59.0|0|0.0|100
0|2021-11-01|2311.0|0|2316.0|0|59.0|0|0.0|100
0|2021-11-02|2312.0|0|2317.0|0|59.0|0|0.0|100
0|2021-11-03|2318.0|0|2323.0|0|60.0|0|0.0|100
0|2021-11-04|2321.0|0|2326.0|0|61.0|0|0.0|100
0|2021-11-05|2329.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-06|2329.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-07|2329.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-08|2339.0|0|2344.0|0|61.0|0|0.0|100
0|2021-11-09|2343.0|0|2348.0|0|61.0|0|0.0|100
0|2021-11-10|2343.0|0|2350.0|0|61.0|0|0.0|100
0|2021-11-11|2357.0|0|2362.0|0|61.0|0|0.0|100
0|2021-11-12|2367.0|0|2372.0|0|64.0|0|0.0|100
0|2021-11-13|2367.0|0|2372.0|0|64.0|0|0.0|100
0|2021-11-14|2367.0|0|2372.0|0|64.0|0|0.0|100
0|2021-11-15|2384.0|0|2389.0|0|64.0|0|0.0|100
0|2021-11-16|2386.0|0|2391.0|0|64.0|0|0.0|100
0|2021-11-17|2396.0|0|2401.0|0|64.0|0|0.0|100
0|2021-11-18|2401.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-19|2415.0|0|2420.0|0|64.0|0|0.0|100
0|2021-11-20|2415.0|0|2420.0|0|64.0|0|0.0|100
0|2021-11-21|2415.0|0|2420.0|0|64.0|0|0.0|100
0|2021-11-22|2430.0|0|2436.0|0|64.0|0|0.0|100
0|2021-11-23|2436.0|0|2442.0|0|64.0|0|0.0|100
0|2021-11-24|2446.0|0|2452.0|0|64.0|0|0.0|100
0|2021-11-25|2446.0|0|2452.0|0|64.0|0|0.0|100
0|2021-11-26|2446.0|0|2452.0|0|64.0|0|0.0|100
0|2021-11-27|2446.0|0|2452.0|0|64.0|0|0.0|100
0|2021-11-28|2446.0|0|2452.0|0|64.0|0|0.0|100
0|2021-11-29|2473.0|0|2479.0|0|65.0|0|0.0|100
0|2021-11-30|2482.0|0|2488.0|0|65.0|0|0.0|100
0|2021-12-01|2494.0|0|2500.0|0|65.0|0|0.0|100
0|2021-12-02|2494.0|0|2506.0|0|65.0|0|0.0|100
0|2021-12-03|2511.0|0|2517.0|0|67.0|0|0.0|100
0|2021-12-04|2511.0|0|2517.0|0|67.0|0|0.0|100
0|2021-12-05|2511.0|0|2517.0|0|67.0|0|0.0|100
0|2021-12-06|2533.0|0|2539.0|0|67.0|0|0.0|100
0|2021-12-07|2539.0|0|2545.0|0|67.0|0|0.0|100
