|dates|Crawford_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Crawford_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Crawford_Michigan_UnitedStates.Male_Total_Population.data|Crawford_Michigan_UnitedStates.Male_Total_Population.missing|Crawford_Michigan_UnitedStates.Female_Total_Population.data|Crawford_Michigan_UnitedStates.Female_Total_Population.missing|Crawford_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Crawford_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-18|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-19|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-20|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-21|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-22|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-23|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-24|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-25|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-26|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-27|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-28|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-29|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-30|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-10-31|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-01|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-02|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-03|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-04|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-05|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-06|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-07|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-08|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-09|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-10|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-11|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-12|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-13|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-14|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-15|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-16|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-17|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-18|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-19|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-20|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-21|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-22|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-23|3570.0|0|7062.0|0|6839.0|0|2486.0|0
0|2021-11-24|3570.0|0|7062.0|0|6839.0|0|2486.0|0
