|dates|BigHorn_Montana_UnitedStates.JHU_ConfirmedCases.data|BigHorn_Montana_UnitedStates.JHU_ConfirmedCases.missing|BigHorn_Montana_UnitedStates.NYT_ConfirmedCases.data|BigHorn_Montana_UnitedStates.NYT_ConfirmedCases.missing|BigHorn_Montana_UnitedStates.JHU_ConfirmedDeaths.data|BigHorn_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|BigHorn_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|BigHorn_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2958.0|0|2958.0|0|81.0|0|0.0|100
0|2021-10-18|2964.0|0|2964.0|0|81.0|0|0.0|100
0|2021-10-19|2976.0|0|2976.0|0|81.0|0|0.0|100
0|2021-10-20|2988.0|0|2988.0|0|81.0|0|0.0|100
0|2021-10-21|2994.0|0|2994.0|0|81.0|0|0.0|100
0|2021-10-22|2994.0|0|2994.0|0|81.0|0|0.0|100
0|2021-10-23|2994.0|0|2994.0|0|81.0|0|0.0|100
0|2021-10-24|2994.0|0|2994.0|0|81.0|0|0.0|100
0|2021-10-25|3010.0|0|3010.0|0|81.0|0|0.0|100
0|2021-10-26|3016.0|0|3016.0|0|82.0|0|0.0|100
0|2021-10-27|3020.0|0|3020.0|0|82.0|0|0.0|100
0|2021-10-28|3024.0|0|3024.0|0|82.0|0|0.0|100
0|2021-10-29|3027.0|0|3027.0|0|82.0|0|0.0|100
0|2021-10-30|3027.0|0|3027.0|0|82.0|0|0.0|100
0|2021-10-31|3027.0|0|3027.0|0|82.0|0|0.0|100
0|2021-11-01|3039.0|0|3039.0|0|82.0|0|0.0|100
0|2021-11-02|3060.0|0|3060.0|0|82.0|0|0.0|100
0|2021-11-03|3083.0|0|3083.0|0|82.0|0|0.0|100
0|2021-11-04|3089.0|0|3089.0|0|82.0|0|0.0|100
0|2021-11-05|3091.0|0|3091.0|0|82.0|0|0.0|100
