|dates|Butler_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Butler_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Butler_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Butler_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Butler_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Butler_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Butler_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Butler_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-18|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-19|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-20|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-21|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-22|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-23|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-24|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-25|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-26|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-27|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-28|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-29|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-30|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-10-31|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-11-01|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-11-02|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-11-03|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-11-04|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
0|2021-11-05|4395.0|0|106.0|0|2.355032215063319|0|4501.0|0
