|dates|Wells_Indiana_UnitedStates.JHU_ConfirmedCases.data|Wells_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Wells_Indiana_UnitedStates.NYT_ConfirmedCases.data|Wells_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Wells_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Wells_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Wells_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Wells_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4197.0|0|4222.0|0|87.0|0|0.0|100
0|2021-10-18|4209.0|0|4234.0|0|87.0|0|0.0|100
0|2021-10-19|4217.0|0|4242.0|0|88.0|0|0.0|100
0|2021-10-20|4225.0|0|4250.0|0|88.0|0|0.0|100
0|2021-10-21|4230.0|0|4255.0|0|88.0|0|0.0|100
0|2021-10-22|4248.0|0|4273.0|0|88.0|0|0.0|100
0|2021-10-23|4248.0|0|4273.0|0|88.0|0|0.0|100
0|2021-10-24|4248.0|0|4273.0|0|88.0|0|0.0|100
0|2021-10-25|4260.0|0|4285.0|0|88.0|0|0.0|100
0|2021-10-26|4263.0|0|4288.0|0|88.0|0|0.0|100
0|2021-10-27|4268.0|0|4293.0|0|88.0|0|0.0|100
0|2021-10-28|4273.0|0|4298.0|0|88.0|0|0.0|100
0|2021-10-29|4282.0|0|4307.0|0|89.0|0|0.0|100
0|2021-10-30|4282.0|0|4307.0|0|89.0|0|0.0|100
0|2021-10-31|4282.0|0|4307.0|0|89.0|0|0.0|100
0|2021-11-01|4297.0|0|4322.0|0|89.0|0|0.0|100
0|2021-11-02|4302.0|0|4327.0|0|89.0|0|0.0|100
0|2021-11-03|4316.0|0|4341.0|0|89.0|0|0.0|100
0|2021-11-04|4325.0|0|4350.0|0|90.0|0|0.0|100
0|2021-11-05|4336.0|0|4361.0|0|90.0|0|0.0|100
0|2021-11-06|4336.0|0|4361.0|0|90.0|0|0.0|100
0|2021-11-07|4336.0|0|4361.0|0|90.0|0|0.0|100
0|2021-11-08|4364.0|0|4389.0|0|90.0|0|0.0|100
0|2021-11-09|4374.0|0|4399.0|0|91.0|0|0.0|100
0|2021-11-10|4374.0|0|4417.0|0|91.0|0|0.0|100
0|2021-11-11|4420.0|0|4445.0|0|91.0|0|0.0|100
0|2021-11-12|4444.0|0|4469.0|0|92.0|0|0.0|100
0|2021-11-13|4444.0|0|4469.0|0|92.0|0|0.0|100
0|2021-11-14|4444.0|0|4469.0|0|92.0|0|0.0|100
0|2021-11-15|4473.0|0|4498.0|0|92.0|0|0.0|100
0|2021-11-16|4476.0|0|4501.0|0|92.0|0|0.0|100
0|2021-11-17|4497.0|0|4522.0|0|93.0|0|0.0|100
0|2021-11-18|4525.0|0|4550.0|0|94.0|0|0.0|100
0|2021-11-19|4534.0|0|4559.0|0|95.0|0|0.0|100
0|2021-11-20|4534.0|0|4559.0|0|95.0|0|0.0|100
0|2021-11-21|4534.0|0|4559.0|0|95.0|0|0.0|100
0|2021-11-22|4584.0|0|4609.0|0|97.0|0|0.0|100
0|2021-11-23|4596.0|0|4621.0|0|98.0|0|0.0|100
0|2021-11-24|4629.0|0|4654.0|0|98.0|0|0.0|100
0|2021-11-25|4629.0|0|4654.0|0|98.0|0|0.0|100
0|2021-11-26|4629.0|0|4654.0|0|98.0|0|0.0|100
0|2021-11-27|4629.0|0|4654.0|0|98.0|0|0.0|100
0|2021-11-28|4629.0|0|4654.0|0|98.0|0|0.0|100
0|2021-11-29|4717.0|0|4742.0|0|99.0|0|0.0|100
0|2021-11-30|4733.0|0|4758.0|0|101.0|0|0.0|100
0|2021-12-01|4787.0|0|4812.0|0|103.0|0|0.0|100
