|dates|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Daviess_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Daviess_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|16609.0|0|16609.0|0|259.0|0|0.0|100
0|2021-10-18|16681.0|0|16681.0|0|259.0|0|0.0|100
0|2021-10-19|16703.0|0|16703.0|0|259.0|0|0.0|100
0|2021-10-20|16753.0|0|16753.0|0|259.0|0|0.0|100
0|2021-10-21|16790.0|0|16790.0|0|261.0|0|0.0|100
0|2021-10-22|16827.0|0|16827.0|0|262.0|0|0.0|100
0|2021-10-23|16827.0|0|16827.0|0|262.0|0|0.0|100
0|2021-10-24|16827.0|0|16827.0|0|262.0|0|0.0|100
0|2021-10-25|16880.0|0|16880.0|0|263.0|0|0.0|100
0|2021-10-26|16918.0|0|16918.0|0|264.0|0|0.0|100
0|2021-10-27|16960.0|0|16960.0|0|264.0|0|0.0|100
0|2021-10-28|16989.0|0|16989.0|0|264.0|0|0.0|100
0|2021-10-29|17013.0|0|17013.0|0|264.0|0|0.0|100
0|2021-10-30|17013.0|0|17013.0|0|264.0|0|0.0|100
0|2021-10-31|17013.0|0|17013.0|0|264.0|0|0.0|100
0|2021-11-01|17086.0|0|17086.0|0|265.0|0|0.0|100
0|2021-11-02|17115.0|0|17115.0|0|266.0|0|0.0|100
0|2021-11-03|17168.0|0|17168.0|0|267.0|0|0.0|100
0|2021-11-04|17209.0|0|17209.0|0|269.0|0|0.0|100
0|2021-11-05|17244.0|0|17244.0|0|271.0|0|0.0|100
0|2021-11-06|17244.0|0|17244.0|0|271.0|0|0.0|100
0|2021-11-07|17244.0|0|17244.0|0|271.0|0|0.0|100
0|2021-11-08|17328.0|0|17328.0|0|271.0|0|0.0|100
0|2021-11-09|17363.0|0|17363.0|0|272.0|0|0.0|100
