|dates|Hardin_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hardin_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hardin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5489.0|0|5489.0|0|81.0|0|0.0|100
0|2021-10-18|5499.0|0|5499.0|0|81.0|0|0.0|100
0|2021-10-19|5501.0|0|5501.0|0|81.0|0|0.0|100
0|2021-10-20|5508.0|0|5508.0|0|81.0|0|0.0|100
0|2021-10-21|5515.0|0|5515.0|0|81.0|0|0.0|100
0|2021-10-22|5520.0|0|5520.0|0|81.0|0|0.0|100
0|2021-10-23|5520.0|0|5520.0|0|81.0|0|0.0|100
0|2021-10-24|5520.0|0|5520.0|0|81.0|0|0.0|100
0|2021-10-25|5520.0|0|5520.0|0|81.0|0|0.0|100
0|2021-10-26|5527.0|0|5527.0|0|81.0|0|0.0|100
0|2021-10-27|5528.0|0|5528.0|0|81.0|0|0.0|100
0|2021-10-28|5537.0|0|5537.0|0|81.0|0|0.0|100
0|2021-10-29|5542.0|0|5542.0|0|81.0|0|0.0|100
0|2021-10-30|5542.0|0|5542.0|0|81.0|0|0.0|100
0|2021-10-31|5542.0|0|5542.0|0|81.0|0|0.0|100
0|2021-11-01|5542.0|0|5542.0|0|81.0|0|0.0|100
0|2021-11-02|5553.0|0|5553.0|0|81.0|0|0.0|100
0|2021-11-03|5561.0|0|5561.0|0|81.0|0|0.0|100
0|2021-11-04|5565.0|0|5565.0|0|83.0|0|0.0|100
0|2021-11-05|5570.0|0|5570.0|0|83.0|0|0.0|100
0|2021-11-06|5570.0|0|5570.0|0|83.0|0|0.0|100
0|2021-11-07|5570.0|0|5570.0|0|83.0|0|0.0|100
0|2021-11-08|5570.0|0|5570.0|0|83.0|0|0.0|100
0|2021-11-09|5584.0|0|5584.0|0|83.0|0|0.0|100
0|2021-11-10|5593.0|0|5593.0|0|83.0|0|0.0|100
0|2021-11-11|5593.0|0|5593.0|0|83.0|0|0.0|100
0|2021-11-12|5603.0|0|5603.0|0|84.0|0|0.0|100
0|2021-11-13|5603.0|0|5603.0|0|84.0|0|0.0|100
0|2021-11-14|5603.0|0|5603.0|0|84.0|0|0.0|100
0|2021-11-15|5617.0|0|5617.0|0|84.0|0|0.0|100
0|2021-11-16|5622.0|0|5622.0|0|85.0|0|0.0|100
0|2021-11-17|5631.0|0|5631.0|0|85.0|0|0.0|100
0|2021-11-18|5639.0|0|5639.0|0|86.0|0|0.0|100
0|2021-11-19|5646.0|0|5646.0|0|88.0|0|0.0|100
0|2021-11-20|5646.0|0|5646.0|0|88.0|0|0.0|100
0|2021-11-21|5646.0|0|5646.0|0|88.0|0|0.0|100
0|2021-11-22|5659.0|0|5659.0|0|88.0|0|0.0|100
0|2021-11-23|5661.0|0|5661.0|0|88.0|0|0.0|100
0|2021-11-24|5664.0|0|5664.0|0|88.0|0|0.0|100
0|2021-11-25|5664.0|0|5664.0|0|88.0|0|0.0|100
0|2021-11-26|5664.0|0|5664.0|0|88.0|0|0.0|100
0|2021-11-27|5664.0|0|5664.0|0|88.0|0|0.0|100
0|2021-11-28|5664.0|0|5664.0|0|88.0|0|0.0|100
0|2021-11-29|5684.0|0|5684.0|0|89.0|0|0.0|100
0|2021-11-30|5690.0|0|5690.0|0|89.0|0|0.0|100
0|2021-12-01|5701.0|0|5701.0|0|90.0|0|0.0|100
0|2021-12-02|5716.0|0|5716.0|0|90.0|0|0.0|100
0|2021-12-03|5727.0|0|5727.0|0|90.0|0|0.0|100
0|2021-12-04|5727.0|0|5727.0|0|90.0|0|0.0|100
0|2021-12-05|5727.0|0|5727.0|0|90.0|0|0.0|100
0|2021-12-06|5732.0|0|5732.0|0|90.0|0|0.0|100
0|2021-12-07|5738.0|0|5738.0|0|91.0|0|0.0|100
0|2021-12-08|5747.0|0|5747.0|0|91.0|0|0.0|100
0|2021-12-09|5747.0|0|5747.0|0|91.0|0|0.0|100
0|2021-12-10|5755.0|0|5755.0|0|91.0|0|0.0|100
0|2021-12-11|5755.0|0|5755.0|0|91.0|0|0.0|100
0|2021-12-12|5755.0|0|5755.0|0|91.0|0|0.0|100
0|2021-12-13|5771.0|0|5771.0|0|91.0|0|0.0|100
0|2021-12-14|5771.0|0|5772.0|0|91.0|0|0.0|100
0|2021-12-15|5785.0|0|5785.0|0|93.0|0|0.0|100
0|2021-12-16|5792.0|0|5792.0|0|93.0|0|0.0|100
0|2021-12-17|5799.0|0|5799.0|0|94.0|0|0.0|100
0|2021-12-18|5799.0|0|5799.0|0|94.0|0|0.0|100
0|2021-12-19|5799.0|0|5799.0|0|94.0|0|0.0|100
0|2021-12-20|5809.0|0|5809.0|0|94.0|0|0.0|100
0|2021-12-21|5815.0|0|5815.0|0|94.0|0|0.0|100
0|2021-12-22|5826.0|0|5826.0|0|94.0|0|0.0|100
0|2021-12-23|5838.0|0|5838.0|0|109.0|0|0.0|100
0|2021-12-24|5838.0|0|5838.0|0|109.0|0|0.0|100
0|2021-12-25|5838.0|0|5838.0|0|109.0|0|0.0|100
0|2021-12-26|5838.0|0|5838.0|0|109.0|0|0.0|100
0|2021-12-27|5869.0|0|5869.0|0|110.0|0|0.0|100
0|2021-12-28|5869.0|0|5889.0|0|110.0|0|0.0|100
0|2021-12-29|5920.0|0|5920.0|0|110.0|0|0.0|100
0|2021-12-30|5949.0|0|5949.0|0|110.0|0|0.0|100
0|2021-12-31|5949.0|0|5949.0|0|110.0|0|0.0|100
0|2022-01-01|5949.0|0|5949.0|0|110.0|0|0.0|100
0|2022-01-02|5949.0|0|5949.0|0|110.0|0|0.0|100
0|2022-01-03|6022.0|0|6022.0|0|110.0|0|0.0|100
0|2022-01-04|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-05|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-06|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-07|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-08|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-09|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-10|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-11|6040.0|0|6040.0|0|110.0|0|0.0|100
0|2022-01-12|6245.0|0|6245.0|0|112.0|0|0.0|100
0|2022-01-13|6245.0|0|6245.0|0|112.0|0|0.0|100
0|2022-01-14|6245.0|0|6245.0|0|112.0|0|0.0|100
0|2022-01-15|6245.0|0|6245.0|0|112.0|0|0.0|100
0|2022-01-16|6245.0|0|6245.0|0|112.0|0|0.0|100
0|2022-01-17|6245.0|0|0.0|100|112.0|0|0.0|100
