|dates|Cook_Georgia_UnitedStates.JHU_ConfirmedCases.data|Cook_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Cook_Georgia_UnitedStates.NYT_ConfirmedCases.data|Cook_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Cook_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Cook_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Cook_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Cook_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3577.0|0|3580.0|0|58.0|0|0.0|100
0|2021-10-18|3580.0|0|3583.0|0|58.0|0|0.0|100
0|2021-10-19|3582.0|0|3585.0|0|58.0|0|0.0|100
0|2021-10-20|3585.0|0|3588.0|0|59.0|0|0.0|100
0|2021-10-21|3585.0|0|3588.0|0|59.0|0|0.0|100
0|2021-10-22|3585.0|0|3588.0|0|60.0|0|0.0|100
0|2021-10-23|3585.0|0|3588.0|0|60.0|0|0.0|100
0|2021-10-24|3585.0|0|3588.0|0|60.0|0|0.0|100
0|2021-10-25|3587.0|0|3590.0|0|61.0|0|0.0|100
0|2021-10-26|3588.0|0|3591.0|0|61.0|0|0.0|100
0|2021-10-27|3590.0|0|3593.0|0|61.0|0|0.0|100
0|2021-10-28|3592.0|0|3595.0|0|62.0|0|0.0|100
0|2021-10-29|3594.0|0|3597.0|0|62.0|0|0.0|100
0|2021-10-30|3594.0|0|3597.0|0|62.0|0|0.0|100
0|2021-10-31|3594.0|0|3597.0|0|62.0|0|0.0|100
0|2021-11-01|3597.0|0|3601.0|0|62.0|0|0.0|100
0|2021-11-02|3598.0|0|3602.0|0|62.0|0|0.0|100
0|2021-11-03|3601.0|0|3605.0|0|62.0|0|0.0|100
0|2021-11-04|3609.0|0|3613.0|0|62.0|0|0.0|100
0|2021-11-05|3610.0|0|3614.0|0|62.0|0|0.0|100
0|2021-11-06|3610.0|0|3614.0|0|62.0|0|0.0|100
0|2021-11-07|3610.0|0|3614.0|0|62.0|0|0.0|100
0|2021-11-08|3610.0|0|3614.0|0|62.0|0|0.0|100
0|2021-11-09|3612.0|0|3616.0|0|63.0|0|0.0|100
0|2021-11-10|3613.0|0|3617.0|0|63.0|0|0.0|100
0|2021-11-11|3613.0|0|3617.0|0|63.0|0|0.0|100
0|2021-11-12|3619.0|0|3623.0|0|63.0|0|0.0|100
0|2021-11-13|3619.0|0|3623.0|0|63.0|0|0.0|100
0|2021-11-14|3619.0|0|3623.0|0|63.0|0|0.0|100
0|2021-11-15|3619.0|0|3624.0|0|63.0|0|0.0|100
0|2021-11-16|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-17|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-18|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-19|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-20|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-21|3620.0|0|3625.0|0|63.0|0|0.0|100
0|2021-11-22|3623.0|0|3628.0|0|63.0|0|0.0|100
0|2021-11-23|3624.0|0|3629.0|0|64.0|0|0.0|100
0|2021-11-24|3624.0|0|3629.0|0|64.0|0|0.0|100
0|2021-11-25|3624.0|0|3629.0|0|64.0|0|0.0|100
0|2021-11-26|3624.0|0|3629.0|0|64.0|0|0.0|100
0|2021-11-27|3624.0|0|3629.0|0|64.0|0|0.0|100
