|dates|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hopkins_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Hopkins_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7894.0|0|7895.0|0|191.0|0|0.0|100
0|2021-10-18|7932.0|0|7933.0|0|192.0|0|0.0|100
0|2021-10-19|7955.0|0|7956.0|0|193.0|0|0.0|100
0|2021-10-20|7993.0|0|7994.0|0|195.0|0|0.0|100
0|2021-10-21|8047.0|0|8048.0|0|195.0|0|0.0|100
0|2021-10-22|8072.0|0|8073.0|0|196.0|0|0.0|100
0|2021-10-23|8072.0|0|8073.0|0|196.0|0|0.0|100
0|2021-10-24|8072.0|0|8073.0|0|196.0|0|0.0|100
0|2021-10-25|8100.0|0|8101.0|0|201.0|0|0.0|100
0|2021-10-26|8139.0|0|8140.0|0|201.0|0|0.0|100
0|2021-10-27|8180.0|0|8181.0|0|201.0|0|0.0|100
0|2021-10-28|8220.0|0|8221.0|0|202.0|0|0.0|100
0|2021-10-29|8232.0|0|8233.0|0|202.0|0|0.0|100
0|2021-10-30|8232.0|0|8233.0|0|202.0|0|0.0|100
0|2021-10-31|8232.0|0|8233.0|0|202.0|0|0.0|100
0|2021-11-01|8255.0|0|8256.0|0|202.0|0|0.0|100
0|2021-11-02|8276.0|0|8277.0|0|203.0|0|0.0|100
0|2021-11-03|8304.0|0|8305.0|0|203.0|0|0.0|100
0|2021-11-04|8344.0|0|8345.0|0|203.0|0|0.0|100
0|2021-11-05|8381.0|0|8382.0|0|203.0|0|0.0|100
0|2021-11-06|8381.0|0|8382.0|0|203.0|0|0.0|100
0|2021-11-07|8381.0|0|8382.0|0|203.0|0|0.0|100
0|2021-11-08|8411.0|0|8412.0|0|203.0|0|0.0|100
0|2021-11-09|8453.0|0|8454.0|0|203.0|0|0.0|100
0|2021-11-10|8453.0|0|8503.0|0|203.0|0|0.0|100
0|2021-11-11|8502.0|0|8503.0|0|203.0|0|0.0|100
0|2021-11-12|8540.0|0|8541.0|0|204.0|0|0.0|100
0|2021-11-13|8540.0|0|8541.0|0|204.0|0|0.0|100
0|2021-11-14|8540.0|0|8541.0|0|204.0|0|0.0|100
0|2021-11-15|8585.0|0|8586.0|0|204.0|0|0.0|100
0|2021-11-16|8612.0|0|8613.0|0|205.0|0|0.0|100
0|2021-11-17|8672.0|0|8673.0|0|206.0|0|0.0|100
0|2021-11-18|8721.0|0|8722.0|0|207.0|0|0.0|100
0|2021-11-19|8725.0|0|8726.0|0|208.0|0|0.0|100
0|2021-11-20|8725.0|0|8726.0|0|208.0|0|0.0|100
0|2021-11-21|8725.0|0|8726.0|0|208.0|0|0.0|100
0|2021-11-22|8789.0|0|8790.0|0|208.0|0|0.0|100
0|2021-11-23|8827.0|0|8828.0|0|208.0|0|0.0|100
0|2021-11-24|8859.0|0|8860.0|0|208.0|0|0.0|100
0|2021-11-25|8859.0|0|8860.0|0|208.0|0|0.0|100
