|dates|Boone_Illinois_UnitedStates.JHU_ConfirmedCases.data|Boone_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Boone_Illinois_UnitedStates.NYT_ConfirmedCases.data|Boone_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Boone_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7875.0|0|7875.0|0|83.0|0|0.0|100
0|2021-10-18|7904.0|0|7904.0|0|83.0|0|0.0|100
0|2021-10-19|7913.0|0|7913.0|0|83.0|0|0.0|100
0|2021-10-20|7943.0|0|7943.0|0|83.0|0|0.0|100
0|2021-10-21|7948.0|0|7948.0|0|83.0|0|0.0|100
0|2021-10-22|7965.0|0|7965.0|0|83.0|0|0.0|100
0|2021-10-23|7965.0|0|7965.0|0|83.0|0|0.0|100
0|2021-10-24|7965.0|0|7965.0|0|83.0|0|0.0|100
0|2021-10-25|7981.0|0|7981.0|0|83.0|0|0.0|100
0|2021-10-26|7991.0|0|7991.0|0|83.0|0|0.0|100
0|2021-10-27|7999.0|0|7999.0|0|83.0|0|0.0|100
0|2021-10-28|8018.0|0|8018.0|0|83.0|0|0.0|100
0|2021-10-29|8028.0|0|8028.0|0|84.0|0|0.0|100
0|2021-10-30|8028.0|0|8028.0|0|84.0|0|0.0|100
0|2021-10-31|8028.0|0|8028.0|0|84.0|0|0.0|100
0|2021-11-01|8058.0|0|8058.0|0|84.0|0|0.0|100
0|2021-11-02|8064.0|0|8064.0|0|84.0|0|0.0|100
0|2021-11-03|8072.0|0|8072.0|0|84.0|0|0.0|100
0|2021-11-04|8080.0|0|8080.0|0|84.0|0|0.0|100
0|2021-11-05|8090.0|0|8090.0|0|84.0|0|0.0|100
0|2021-11-06|8090.0|0|8090.0|0|84.0|0|0.0|100
0|2021-11-07|8090.0|0|8090.0|0|84.0|0|0.0|100
0|2021-11-08|8134.0|0|8134.0|0|84.0|0|0.0|100
0|2021-11-09|8141.0|0|8141.0|0|84.0|0|0.0|100
0|2021-11-10|8186.0|0|8186.0|0|84.0|0|0.0|100
0|2021-11-11|8186.0|0|8186.0|0|84.0|0|0.0|100
0|2021-11-12|8223.0|0|8223.0|0|84.0|0|0.0|100
0|2021-11-13|8223.0|0|8223.0|0|84.0|0|0.0|100
0|2021-11-14|8223.0|0|8223.0|0|84.0|0|0.0|100
0|2021-11-15|8275.0|0|8275.0|0|84.0|0|0.0|100
