|dates|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.data|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Pike_Missouri_UnitedStates.NYT_ConfirmedCases.data|Pike_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2492.0|0|2492.0|0|35.0|0|0.0|100
0|2021-10-18|2492.0|0|2492.0|0|35.0|0|0.0|100
0|2021-10-19|2495.0|0|2495.0|0|37.0|0|0.0|100
0|2021-10-20|2495.0|0|2495.0|0|37.0|0|0.0|100
0|2021-10-21|2501.0|0|2501.0|0|37.0|0|0.0|100
0|2021-10-22|2502.0|0|2502.0|0|37.0|0|0.0|100
0|2021-10-23|2502.0|0|2502.0|0|37.0|0|0.0|100
0|2021-10-24|2503.0|0|2503.0|0|37.0|0|0.0|100
0|2021-10-25|2503.0|0|2503.0|0|37.0|0|0.0|100
0|2021-10-26|2515.0|0|2515.0|0|37.0|0|0.0|100
0|2021-10-27|2521.0|0|2521.0|0|37.0|0|0.0|100
0|2021-10-28|2522.0|0|2522.0|0|37.0|0|0.0|100
0|2021-10-29|2523.0|0|2523.0|0|37.0|0|0.0|100
0|2021-10-30|2527.0|0|2527.0|0|37.0|0|0.0|100
0|2021-10-31|2528.0|0|2528.0|0|37.0|0|0.0|100
0|2021-11-01|2530.0|0|2530.0|0|37.0|0|0.0|100
0|2021-11-02|2533.0|0|2533.0|0|38.0|0|0.0|100
0|2021-11-03|2538.0|0|2538.0|0|38.0|0|0.0|100
0|2021-11-04|2542.0|0|2542.0|0|38.0|0|0.0|100
0|2021-11-05|2547.0|0|2547.0|0|38.0|0|0.0|100
0|2021-11-06|2551.0|0|2551.0|0|38.0|0|0.0|100
0|2021-11-07|2553.0|0|2553.0|0|38.0|0|0.0|100
0|2021-11-08|2554.0|0|2554.0|0|38.0|0|0.0|100
0|2021-11-09|2559.0|0|2559.0|0|38.0|0|0.0|100
0|2021-11-10|2559.0|0|2570.0|0|38.0|0|0.0|100
0|2021-11-11|2570.0|0|2570.0|0|38.0|0|0.0|100
0|2021-11-12|2587.0|0|2587.0|0|38.0|0|0.0|100
0|2021-11-13|2598.0|0|2598.0|0|38.0|0|0.0|100
0|2021-11-14|2599.0|0|2599.0|0|38.0|0|0.0|100
0|2021-11-15|2599.0|0|2599.0|0|38.0|0|0.0|100
0|2021-11-16|2614.0|0|2614.0|0|40.0|0|0.0|100
0|2021-11-17|2626.0|0|2626.0|0|40.0|0|0.0|100
0|2021-11-18|2717.0|0|2717.0|0|40.0|0|0.0|100
0|2021-11-19|2728.0|0|2728.0|0|40.0|0|0.0|100
