|dates|Cole_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cole_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cole_Missouri_UnitedStates.Male_Total_Population.data|Cole_Missouri_UnitedStates.Male_Total_Population.missing|Cole_Missouri_UnitedStates.Female_Total_Population.data|Cole_Missouri_UnitedStates.Female_Total_Population.missing|Cole_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Cole_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-18|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-19|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-20|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-21|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-22|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-23|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-24|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-25|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-26|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-27|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-28|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-29|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-30|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-10-31|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-01|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-02|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-03|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-04|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-05|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-06|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-07|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-08|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-09|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-10|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-11|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-12|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-13|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-14|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-15|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-16|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-17|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-18|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-19|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-20|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-21|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-22|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-23|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-24|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-25|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-26|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-27|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-28|12734.0|0|38795.0|0|38001.0|0|17106.0|0
