|dates|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Robeson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Robeson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Robeson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|24681.0|0|24681.0|0|422.0|0|0.0|100
0|2021-10-18|24727.0|0|24727.0|0|423.0|0|0.0|100
0|2021-10-19|24740.0|0|24740.0|0|423.0|0|0.0|100
0|2021-10-20|24773.0|0|24773.0|0|424.0|0|0.0|100
0|2021-10-21|24814.0|0|24814.0|0|424.0|0|0.0|100
0|2021-10-22|24839.0|0|24839.0|0|424.0|0|0.0|100
0|2021-10-23|24839.0|0|24839.0|0|424.0|0|0.0|100
0|2021-10-24|24839.0|0|24839.0|0|424.0|0|0.0|100
0|2021-10-25|24903.0|0|24903.0|0|425.0|0|0.0|100
0|2021-10-26|24915.0|0|24915.0|0|425.0|0|0.0|100
0|2021-10-27|24937.0|0|24937.0|0|425.0|0|0.0|100
0|2021-10-28|24952.0|0|24952.0|0|426.0|0|0.0|100
0|2021-10-29|24992.0|0|24992.0|0|430.0|0|0.0|100
0|2021-10-30|24992.0|0|24992.0|0|430.0|0|0.0|100
0|2021-10-31|24992.0|0|24992.0|0|430.0|0|0.0|100
0|2021-11-01|25049.0|0|25049.0|0|431.0|0|0.0|100
0|2021-11-02|25057.0|0|25057.0|0|431.0|0|0.0|100
0|2021-11-03|25068.0|0|25068.0|0|432.0|0|0.0|100
0|2021-11-04|25092.0|0|25092.0|0|432.0|0|0.0|100
0|2021-11-05|25105.0|0|25105.0|0|432.0|0|0.0|100
0|2021-11-06|25105.0|0|25105.0|0|432.0|0|0.0|100
