|dates|Frederick_Maryland_UnitedStates.JHU_ConfirmedCases.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Frederick_Maryland_UnitedStates.NYT_ConfirmedCases.data|Frederick_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Frederick_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Frederick_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23779.0|0|23789.0|0|372.0|0|0.0|100
0|2021-10-18|23807.0|0|23817.0|0|372.0|0|0.0|100
0|2021-10-19|23852.0|0|23862.0|0|372.0|0|0.0|100
0|2021-10-20|23886.0|0|23896.0|0|373.0|0|0.0|100
0|2021-10-21|23944.0|0|23954.0|0|375.0|0|0.0|100
0|2021-10-22|23976.0|0|23986.0|0|375.0|0|0.0|100
0|2021-10-23|24030.0|0|24040.0|0|375.0|0|0.0|100
0|2021-10-24|24063.0|0|24073.0|0|375.0|0|0.0|100
0|2021-10-25|24094.0|0|24104.0|0|375.0|0|0.0|100
0|2021-10-26|24140.0|0|24150.0|0|376.0|0|0.0|100
0|2021-10-27|24172.0|0|24182.0|0|377.0|0|0.0|100
0|2021-10-28|24224.0|0|24234.0|0|377.0|0|0.0|100
0|2021-10-29|24268.0|0|24278.0|0|377.0|0|0.0|100
0|2021-10-30|24314.0|0|24324.0|0|377.0|0|0.0|100
0|2021-10-31|24347.0|0|24357.0|0|377.0|0|0.0|100
0|2021-11-01|24371.0|0|24381.0|0|377.0|0|0.0|100
0|2021-11-02|24395.0|0|24405.0|0|379.0|0|0.0|100
0|2021-11-03|24440.0|0|24450.0|0|379.0|0|0.0|100
0|2021-11-04|24492.0|0|24502.0|0|379.0|0|0.0|100
0|2021-11-05|24540.0|0|24550.0|0|379.0|0|0.0|100
0|2021-11-06|24576.0|0|24586.0|0|381.0|0|0.0|100
0|2021-11-07|24627.0|0|24637.0|0|382.0|0|0.0|100
0|2021-11-08|24671.0|0|24681.0|0|382.0|0|0.0|100
0|2021-11-09|24689.0|0|24699.0|0|384.0|0|0.0|100
0|2021-11-10|24689.0|0|24751.0|0|384.0|0|0.0|100
0|2021-11-11|24812.0|0|24822.0|0|386.0|0|0.0|100
0|2021-11-12|24868.0|0|24878.0|0|386.0|0|0.0|100
0|2021-11-13|24919.0|0|24929.0|0|386.0|0|0.0|100
0|2021-11-14|24977.0|0|24987.0|0|386.0|0|0.0|100
0|2021-11-15|25019.0|0|25029.0|0|386.0|0|0.0|100
0|2021-11-16|25055.0|0|25065.0|0|388.0|0|0.0|100
0|2021-11-17|25112.0|0|25122.0|0|388.0|0|0.0|100
0|2021-11-18|25171.0|0|25181.0|0|388.0|0|0.0|100
0|2021-11-19|25223.0|0|25233.0|0|389.0|0|0.0|100
0|2021-11-20|25279.0|0|25289.0|0|389.0|0|0.0|100
0|2021-11-21|25321.0|0|25331.0|0|390.0|0|0.0|100
0|2021-11-22|25381.0|0|25391.0|0|390.0|0|0.0|100
0|2021-11-23|25442.0|0|25452.0|0|390.0|0|0.0|100
0|2021-11-24|25507.0|0|25517.0|0|390.0|0|0.0|100
0|2021-11-25|25507.0|0|25517.0|0|390.0|0|0.0|100
0|2021-11-26|25507.0|0|25517.0|0|390.0|0|0.0|100
0|2021-11-27|25683.0|0|25693.0|0|392.0|0|0.0|100
0|2021-11-28|25705.0|0|25715.0|0|392.0|0|0.0|100
0|2021-11-29|25749.0|0|25759.0|0|392.0|0|0.0|100
0|2021-11-30|25836.0|0|25846.0|0|393.0|0|0.0|100
0|2021-12-01|25907.0|0|25917.0|0|393.0|0|0.0|100
0|2021-12-02|25907.0|0|26044.0|0|393.0|0|0.0|100
0|2021-12-03|26138.0|0|26148.0|0|397.0|0|0.0|100
0|2021-12-04|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-05|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-06|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-07|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-08|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-09|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-10|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-11|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-12|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-13|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-14|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-15|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-16|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-17|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-18|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-19|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-20|26247.0|0|26257.0|0|397.0|0|0.0|100
0|2021-12-21|26247.0|0|26257.0|0|397.0|0|0.0|100
