|dates|Marion_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Marion_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Marion_Florida_UnitedStates.Male_Total_Population.data|Marion_Florida_UnitedStates.Male_Total_Population.missing|Marion_Florida_UnitedStates.Female_Total_Population.data|Marion_Florida_UnitedStates.Female_Total_Population.missing|Marion_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Marion_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-18|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-19|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-20|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-21|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-22|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-23|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-24|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-25|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-26|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-27|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-28|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-29|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-30|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-10-31|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-01|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-02|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-03|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-04|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-05|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-06|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-07|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-08|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-09|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-10|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-11|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-12|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-13|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-14|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-15|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-16|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-17|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-18|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-19|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-20|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-21|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-22|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-23|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-24|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-25|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-26|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-27|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-28|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-29|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-11-30|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-01|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-02|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-03|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-04|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-05|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-06|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-07|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-08|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-09|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-10|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-11|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-12|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-13|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-14|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-15|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-16|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-17|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-18|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-19|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-20|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-21|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-22|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-23|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-24|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-25|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-26|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-27|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-28|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-29|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-30|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2021-12-31|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-01|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-02|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-03|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-04|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-05|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-06|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-07|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-08|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-09|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-10|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-11|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-12|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-13|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-14|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-15|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-16|104178.0|0|172642.0|0|187335.0|0|66922.0|0
0|2022-01-17|104178.0|0|172642.0|0|187335.0|0|66922.0|0
