|dates|Union_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Union_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Union_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Union_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Union_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Union_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3029.0|0|3029.0|0|45.0|0|0.0|100
0|2021-10-18|3051.0|0|3051.0|0|45.0|0|0.0|100
0|2021-10-19|3066.0|0|3066.0|0|45.0|0|0.0|100
0|2021-10-20|3077.0|0|3077.0|0|46.0|0|0.0|100
0|2021-10-21|3092.0|0|3092.0|0|46.0|0|0.0|100
0|2021-10-22|3100.0|0|3100.0|0|46.0|0|0.0|100
0|2021-10-23|3100.0|0|3100.0|0|46.0|0|0.0|100
0|2021-10-24|3100.0|0|3100.0|0|46.0|0|0.0|100
0|2021-10-25|3100.0|0|3100.0|0|46.0|0|0.0|100
0|2021-10-26|3121.0|0|3121.0|0|46.0|0|0.0|100
0|2021-10-27|3127.0|0|3127.0|0|46.0|0|0.0|100
0|2021-10-28|3139.0|0|3139.0|0|46.0|0|0.0|100
0|2021-10-29|3146.0|0|3146.0|0|46.0|0|0.0|100
0|2021-10-30|3146.0|0|3146.0|0|46.0|0|0.0|100
0|2021-10-31|3146.0|0|3146.0|0|46.0|0|0.0|100
0|2021-11-01|3146.0|0|3146.0|0|46.0|0|0.0|100
0|2021-11-02|3163.0|0|3163.0|0|46.0|0|0.0|100
0|2021-11-03|3164.0|0|3164.0|0|48.0|0|0.0|100
0|2021-11-04|3176.0|0|3176.0|0|48.0|0|0.0|100
0|2021-11-05|3189.0|0|3189.0|0|48.0|0|0.0|100
0|2021-11-06|3189.0|0|3189.0|0|48.0|0|0.0|100
0|2021-11-07|3189.0|0|3189.0|0|48.0|0|0.0|100
0|2021-11-08|3189.0|0|3189.0|0|48.0|0|0.0|100
0|2021-11-09|3214.0|0|3214.0|0|48.0|0|0.0|100
0|2021-11-10|3214.0|0|3292.0|0|48.0|0|0.0|100
0|2021-11-11|3292.0|0|3292.0|0|48.0|0|0.0|100
0|2021-11-12|3321.0|0|3321.0|0|49.0|0|0.0|100
0|2021-11-13|3321.0|0|3321.0|0|49.0|0|0.0|100
0|2021-11-14|3321.0|0|3321.0|0|49.0|0|0.0|100
0|2021-11-15|3336.0|0|3336.0|0|49.0|0|0.0|100
0|2021-11-16|3349.0|0|3349.0|0|49.0|0|0.0|100
0|2021-11-17|3358.0|0|3358.0|0|49.0|0|0.0|100
0|2021-11-18|3369.0|0|3369.0|0|49.0|0|0.0|100
0|2021-11-19|3372.0|0|3372.0|0|50.0|0|0.0|100
0|2021-11-20|3372.0|0|3372.0|0|50.0|0|0.0|100
0|2021-11-21|3372.0|0|3372.0|0|50.0|0|0.0|100
0|2021-11-22|3378.0|0|3378.0|0|50.0|0|0.0|100
0|2021-11-23|3383.0|0|3383.0|0|50.0|0|0.0|100
0|2021-11-24|3387.0|0|3387.0|0|50.0|0|0.0|100
0|2021-11-25|3387.0|0|3387.0|0|50.0|0|0.0|100
