|dates|Richland_Ohio_UnitedStates.JHU_ConfirmedCases.data|Richland_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Richland_Ohio_UnitedStates.NYT_ConfirmedCases.data|Richland_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Richland_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Richland_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|18295.0|0|18295.0|0|301.0|0|0.0|100
0|2021-10-18|18342.0|0|18342.0|0|304.0|0|0.0|100
0|2021-10-19|18386.0|0|18386.0|0|306.0|0|0.0|100
0|2021-10-20|18456.0|0|18456.0|0|307.0|0|0.0|100
0|2021-10-21|18500.0|0|18500.0|0|307.0|0|0.0|100
0|2021-10-22|18559.0|0|18559.0|0|308.0|0|0.0|100
0|2021-10-23|18586.0|0|18586.0|0|309.0|0|0.0|100
0|2021-10-24|18605.0|0|18605.0|0|309.0|0|0.0|100
0|2021-10-25|18643.0|0|18643.0|0|309.0|0|0.0|100
0|2021-10-26|18681.0|0|18681.0|0|309.0|0|0.0|100
0|2021-10-27|18760.0|0|18760.0|0|309.0|0|0.0|100
0|2021-10-28|18817.0|0|18817.0|0|310.0|0|0.0|100
0|2021-10-29|18866.0|0|18866.0|0|310.0|0|0.0|100
0|2021-10-30|18900.0|0|18900.0|0|310.0|0|0.0|100
0|2021-10-31|18935.0|0|18935.0|0|310.0|0|0.0|100
0|2021-11-01|18968.0|0|18968.0|0|310.0|0|0.0|100
0|2021-11-02|19012.0|0|19012.0|0|310.0|0|0.0|100
0|2021-11-03|19087.0|0|19087.0|0|310.0|0|0.0|100
0|2021-11-04|19129.0|0|19129.0|0|310.0|0|0.0|100
0|2021-11-05|19183.0|0|19183.0|0|310.0|0|0.0|100
0|2021-11-06|19215.0|0|19215.0|0|310.0|0|0.0|100
0|2021-11-07|19248.0|0|19248.0|0|310.0|0|0.0|100
0|2021-11-08|19292.0|0|19292.0|0|310.0|0|0.0|100
0|2021-11-09|19332.0|0|19332.0|0|311.0|0|0.0|100
0|2021-11-10|19332.0|0|19403.0|0|311.0|0|0.0|100
0|2021-11-11|19444.0|0|19444.0|0|311.0|0|0.0|100
0|2021-11-12|19498.0|0|19498.0|0|317.0|0|0.0|100
0|2021-11-13|19559.0|0|19559.0|0|317.0|0|0.0|100
0|2021-11-14|19604.0|0|19604.0|0|317.0|0|0.0|100
0|2021-11-15|19650.0|0|19650.0|0|317.0|0|0.0|100
0|2021-11-16|19707.0|0|19707.0|0|323.0|0|0.0|100
0|2021-11-17|19807.0|0|19807.0|0|323.0|0|0.0|100
0|2021-11-18|19899.0|0|19899.0|0|323.0|0|0.0|100
0|2021-11-19|19977.0|0|19977.0|0|328.0|0|0.0|100
0|2021-11-20|20051.0|0|20051.0|0|328.0|0|0.0|100
0|2021-11-21|20079.0|0|20079.0|0|328.0|0|0.0|100
0|2021-11-22|20132.0|0|20132.0|0|328.0|0|0.0|100
0|2021-11-23|20212.0|0|20212.0|0|329.0|0|0.0|100
0|2021-11-24|20295.0|0|20295.0|0|329.0|0|0.0|100
0|2021-11-25|20295.0|0|20295.0|0|329.0|0|0.0|100
0|2021-11-26|20418.0|0|20418.0|0|336.0|0|0.0|100
0|2021-11-27|20465.0|0|20465.0|0|336.0|0|0.0|100
0|2021-11-28|20523.0|0|20523.0|0|336.0|0|0.0|100
0|2021-11-29|20587.0|0|20587.0|0|336.0|0|0.0|100
0|2021-11-30|20686.0|0|20686.0|0|340.0|0|0.0|100
0|2021-12-01|20815.0|0|20815.0|0|340.0|0|0.0|100
0|2021-12-02|20947.0|0|20947.0|0|340.0|0|0.0|100
0|2021-12-03|20947.0|0|21102.0|0|340.0|0|0.0|100
0|2021-12-04|21191.0|0|21191.0|0|342.0|0|0.0|100
0|2021-12-05|21257.0|0|21257.0|0|342.0|0|0.0|100
0|2021-12-06|21339.0|0|21339.0|0|342.0|0|0.0|100
