|dates|Campbell_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Campbell_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Campbell_Tennessee_UnitedStates.Male_Total_Population.data|Campbell_Tennessee_UnitedStates.Male_Total_Population.missing|Campbell_Tennessee_UnitedStates.Female_Total_Population.data|Campbell_Tennessee_UnitedStates.Female_Total_Population.missing|Campbell_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Campbell_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-18|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-19|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-20|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-21|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-22|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-23|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-24|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-25|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-26|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-27|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-28|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-29|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-30|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-10-31|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-01|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-02|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-03|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-04|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-05|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-06|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-07|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-08|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-09|8212.0|0|19454.0|0|20129.0|0|8149.0|0
