|dates|VanBuren_Iowa_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Iowa_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Iowa_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Iowa_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Iowa_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Iowa_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-18|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-19|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-20|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-21|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-22|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-23|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-24|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-25|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-26|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-27|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-28|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-29|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-30|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-10-31|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-01|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-02|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-03|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-04|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-05|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-06|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-07|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-08|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-09|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-10|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-11|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-12|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-13|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-14|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-15|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-16|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-17|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-18|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-19|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-20|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-21|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-22|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-23|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-24|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-25|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-26|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-27|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-28|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-29|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-11-30|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-01|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-02|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-03|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-04|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-05|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-06|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-07|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
0|2021-12-08|3527.0|0|132.0|0|3.6075430445476906|0|3659.0|0
