|dates|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4401.0|0|4401.0|0|51.0|0|0.0|100
0|2021-10-18|4409.0|0|4409.0|0|54.0|0|0.0|100
0|2021-10-19|4410.0|0|4410.0|0|54.0|0|0.0|100
0|2021-10-20|4418.0|0|4418.0|0|55.0|0|0.0|100
0|2021-10-21|4422.0|0|4422.0|0|55.0|0|0.0|100
0|2021-10-22|4432.0|0|4432.0|0|55.0|0|0.0|100
0|2021-10-23|4432.0|0|4432.0|0|55.0|0|0.0|100
0|2021-10-24|4432.0|0|4432.0|0|55.0|0|0.0|100
0|2021-10-25|4441.0|0|4441.0|0|55.0|0|0.0|100
0|2021-10-26|4444.0|0|4444.0|0|55.0|0|0.0|100
0|2021-10-27|4446.0|0|4446.0|0|55.0|0|0.0|100
0|2021-10-28|4448.0|0|4448.0|0|55.0|0|0.0|100
0|2021-10-29|4471.0|0|4471.0|0|55.0|0|0.0|100
0|2021-10-30|4471.0|0|4471.0|0|55.0|0|0.0|100
0|2021-10-31|4471.0|0|4471.0|0|55.0|0|0.0|100
0|2021-11-01|4480.0|0|4480.0|0|55.0|0|0.0|100
0|2021-11-02|4514.0|0|4514.0|0|55.0|0|0.0|100
0|2021-11-03|4522.0|0|4522.0|0|57.0|0|0.0|100
0|2021-11-04|4536.0|0|4536.0|0|57.0|0|0.0|100
0|2021-11-05|4546.0|0|4546.0|0|58.0|0|0.0|100
0|2021-11-06|4546.0|0|4546.0|0|58.0|0|0.0|100
0|2021-11-07|4546.0|0|4546.0|0|58.0|0|0.0|100
0|2021-11-08|4557.0|0|4557.0|0|59.0|0|0.0|100
0|2021-11-09|4563.0|0|4563.0|0|59.0|0|0.0|100
0|2021-11-10|4563.0|0|4563.0|0|59.0|0|0.0|100
0|2021-11-11|4563.0|0|4563.0|0|59.0|0|0.0|100
0|2021-11-12|4588.0|0|4588.0|0|60.0|0|0.0|100
0|2021-11-13|4588.0|0|4588.0|0|60.0|0|0.0|100
0|2021-11-14|4588.0|0|4588.0|0|60.0|0|0.0|100
0|2021-11-15|4616.0|0|4616.0|0|60.0|0|0.0|100
0|2021-11-16|4643.0|0|4643.0|0|60.0|0|0.0|100
0|2021-11-17|4662.0|0|4662.0|0|60.0|0|0.0|100
0|2021-11-18|4667.0|0|4667.0|0|60.0|0|0.0|100
0|2021-11-19|4670.0|0|4670.0|0|60.0|0|0.0|100
0|2021-11-20|4670.0|0|4670.0|0|60.0|0|0.0|100
0|2021-11-21|4670.0|0|4670.0|0|60.0|0|0.0|100
0|2021-11-22|4699.0|0|4699.0|0|61.0|0|0.0|100
0|2021-11-23|4712.0|0|4712.0|0|61.0|0|0.0|100
0|2021-11-24|4722.0|0|4722.0|0|61.0|0|0.0|100
