|dates|Baxter_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Baxter_Arkansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Baxter_Arkansas_UnitedStates.Male_Total_Population.data|Baxter_Arkansas_UnitedStates.Male_Total_Population.missing|Baxter_Arkansas_UnitedStates.Female_Total_Population.data|Baxter_Arkansas_UnitedStates.Female_Total_Population.missing|Baxter_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.data|Baxter_Arkansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-18|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-19|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-20|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-21|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-22|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-23|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-24|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-25|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-26|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-27|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-28|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-29|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-30|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-10-31|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-01|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-02|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-03|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-04|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-05|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-06|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-07|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-08|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-09|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-10|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-11|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-12|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-13|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-14|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-15|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-16|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-17|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-18|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-19|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-20|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-21|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-22|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-23|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-24|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-25|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-26|12860.0|0|20096.0|0|21523.0|0|7384.0|0
0|2021-11-27|12860.0|0|20096.0|0|21523.0|0|7384.0|0
