|dates|Lampasas_Texas_UnitedStates.JHU_ConfirmedCases.data|Lampasas_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lampasas_Texas_UnitedStates.NYT_ConfirmedCases.data|Lampasas_Texas_UnitedStates.NYT_ConfirmedCases.missing|Lampasas_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lampasas_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lampasas_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lampasas_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3495.0|0|3495.0|0|60.0|0|0.0|100
0|2021-10-18|3499.0|0|3499.0|0|60.0|0|0.0|100
0|2021-10-19|3501.0|0|3501.0|0|60.0|0|0.0|100
0|2021-10-20|3502.0|0|3502.0|0|60.0|0|0.0|100
0|2021-10-21|3506.0|0|3506.0|0|61.0|0|0.0|100
0|2021-10-22|3507.0|0|3507.0|0|61.0|0|0.0|100
0|2021-10-23|3513.0|0|3513.0|0|62.0|0|0.0|100
0|2021-10-24|3513.0|0|3513.0|0|62.0|0|0.0|100
0|2021-10-25|3517.0|0|3517.0|0|62.0|0|0.0|100
0|2021-10-26|3518.0|0|3518.0|0|64.0|0|0.0|100
0|2021-10-27|3518.0|0|3518.0|0|65.0|0|0.0|100
0|2021-10-28|3518.0|0|3518.0|0|65.0|0|0.0|100
0|2021-10-29|3526.0|0|3526.0|0|65.0|0|0.0|100
0|2021-10-30|3530.0|0|3530.0|0|65.0|0|0.0|100
0|2021-10-31|3530.0|0|3530.0|0|65.0|0|0.0|100
0|2021-11-01|3533.0|0|3533.0|0|65.0|0|0.0|100
0|2021-11-02|3533.0|0|3533.0|0|65.0|0|0.0|100
0|2021-11-03|3534.0|0|3534.0|0|65.0|0|0.0|100
0|2021-11-04|3536.0|0|3536.0|0|65.0|0|0.0|100
0|2021-11-05|3536.0|0|3536.0|0|65.0|0|0.0|100
0|2021-11-06|3542.0|0|3542.0|0|66.0|0|0.0|100
0|2021-11-07|3542.0|0|3542.0|0|66.0|0|0.0|100
0|2021-11-08|3547.0|0|3547.0|0|66.0|0|0.0|100
0|2021-11-09|3549.0|0|3549.0|0|66.0|0|0.0|100
0|2021-11-10|3549.0|0|3549.0|0|66.0|0|0.0|100
0|2021-11-11|3549.0|0|3549.0|0|68.0|0|0.0|100
0|2021-11-12|3549.0|0|3549.0|0|68.0|0|0.0|100
0|2021-11-13|3549.0|0|3549.0|0|68.0|0|0.0|100
0|2021-11-14|3550.0|0|3550.0|0|68.0|0|0.0|100
0|2021-11-15|3550.0|0|3550.0|0|68.0|0|0.0|100
0|2021-11-16|3554.0|0|3554.0|0|68.0|0|0.0|100
0|2021-11-17|3555.0|0|3555.0|0|68.0|0|0.0|100
0|2021-11-18|3555.0|0|3555.0|0|68.0|0|0.0|100
0|2021-11-19|3570.0|0|3570.0|0|68.0|0|0.0|100
0|2021-11-20|3573.0|0|3573.0|0|68.0|0|0.0|100
0|2021-11-21|3573.0|0|3573.0|0|68.0|0|0.0|100
0|2021-11-22|3574.0|0|3574.0|0|68.0|0|0.0|100
0|2021-11-23|3574.0|0|3574.0|0|68.0|0|0.0|100
0|2021-11-24|3579.0|0|3579.0|0|68.0|0|0.0|100
0|2021-11-25|3579.0|0|3579.0|0|68.0|0|0.0|100
0|2021-11-26|3579.0|0|3579.0|0|68.0|0|0.0|100
0|2021-11-27|3579.0|0|3579.0|0|68.0|0|0.0|100
0|2021-11-28|3579.0|0|3579.0|0|68.0|0|0.0|100
0|2021-11-29|3595.0|0|3595.0|0|69.0|0|0.0|100
0|2021-11-30|3600.0|0|3600.0|0|69.0|0|0.0|100
0|2021-12-01|3601.0|0|3601.0|0|70.0|0|0.0|100
0|2021-12-02|3605.0|0|3605.0|0|70.0|0|0.0|100
