|dates|Newaygo_Michigan_UnitedStates.JHU_ConfirmedCases.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Newaygo_Michigan_UnitedStates.NYT_ConfirmedCases.data|Newaygo_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Newaygo_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Newaygo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Newaygo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6312.0|0|6312.0|0|79.0|0|0.0|100
0|2021-10-18|6377.0|0|6377.0|0|80.0|0|0.0|100
0|2021-10-19|6377.0|0|6377.0|0|80.0|0|0.0|100
0|2021-10-20|6434.0|0|6434.0|0|81.0|0|0.0|100
0|2021-10-21|6434.0|0|6434.0|0|81.0|0|0.0|100
0|2021-10-22|6497.0|0|6497.0|0|82.0|0|0.0|100
0|2021-10-23|6497.0|0|6497.0|0|82.0|0|0.0|100
0|2021-10-24|6497.0|0|6497.0|0|82.0|0|0.0|100
0|2021-10-25|6558.0|0|6558.0|0|82.0|0|0.0|100
0|2021-10-26|6558.0|0|6558.0|0|82.0|0|0.0|100
0|2021-10-27|6612.0|0|6612.0|0|84.0|0|0.0|100
0|2021-10-28|6612.0|0|6612.0|0|84.0|0|0.0|100
0|2021-10-29|6677.0|0|6677.0|0|84.0|0|0.0|100
0|2021-10-30|6677.0|0|6677.0|0|84.0|0|0.0|100
0|2021-10-31|6677.0|0|6677.0|0|84.0|0|0.0|100
0|2021-11-01|6734.0|0|6734.0|0|84.0|0|0.0|100
0|2021-11-02|6734.0|0|6734.0|0|84.0|0|0.0|100
0|2021-11-03|6799.0|0|6799.0|0|84.0|0|0.0|100
0|2021-11-04|6799.0|0|6799.0|0|84.0|0|0.0|100
0|2021-11-05|6857.0|0|6857.0|0|84.0|0|0.0|100
0|2021-11-06|6857.0|0|6857.0|0|84.0|0|0.0|100
0|2021-11-07|6857.0|0|6857.0|0|84.0|0|0.0|100
0|2021-11-08|6927.0|0|6927.0|0|85.0|0|0.0|100
0|2021-11-09|6927.0|0|6927.0|0|85.0|0|0.0|100
0|2021-11-10|6927.0|0|6973.0|0|85.0|0|0.0|100
0|2021-11-11|6973.0|0|6973.0|0|85.0|0|0.0|100
0|2021-11-12|7076.0|0|7076.0|0|85.0|0|0.0|100
0|2021-11-13|7076.0|0|7076.0|0|85.0|0|0.0|100
0|2021-11-14|7076.0|0|7076.0|0|85.0|0|0.0|100
0|2021-11-15|7237.0|0|7237.0|0|85.0|0|0.0|100
0|2021-11-16|7237.0|0|7237.0|0|85.0|0|0.0|100
0|2021-11-17|7325.0|0|7325.0|0|88.0|0|0.0|100
0|2021-11-18|7325.0|0|7325.0|0|88.0|0|0.0|100
0|2021-11-19|7438.0|0|7438.0|0|90.0|0|0.0|100
0|2021-11-20|7438.0|0|7438.0|0|90.0|0|0.0|100
0|2021-11-21|7438.0|0|7438.0|0|90.0|0|0.0|100
0|2021-11-22|7571.0|0|7571.0|0|92.0|0|0.0|100
0|2021-11-23|7571.0|0|7571.0|0|92.0|0|0.0|100
0|2021-11-24|7666.0|0|7666.0|0|95.0|0|0.0|100
0|2021-11-25|7666.0|0|7666.0|0|95.0|0|0.0|100
0|2021-11-26|7666.0|0|7666.0|0|95.0|0|0.0|100
0|2021-11-27|7666.0|0|7666.0|0|95.0|0|0.0|100
0|2021-11-28|7666.0|0|7666.0|0|95.0|0|0.0|100
0|2021-11-29|7834.0|0|7834.0|0|97.0|0|0.0|100
0|2021-11-30|7834.0|0|7834.0|0|97.0|0|0.0|100
0|2021-12-01|7915.0|0|7915.0|0|104.0|0|0.0|100
