|dates|Scott_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Scott_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Scott_Iowa_UnitedStates.Male_Total_Population.data|Scott_Iowa_UnitedStates.Male_Total_Population.missing|Scott_Iowa_UnitedStates.Female_Total_Population.data|Scott_Iowa_UnitedStates.Female_Total_Population.missing|Scott_Iowa_UnitedStates.MaleAndFemale_Under18_Population.data|Scott_Iowa_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-18|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-19|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-20|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-21|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-22|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-23|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-24|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-25|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-26|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-27|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-28|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-29|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-30|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-10-31|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-01|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-02|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-03|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-04|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-05|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-06|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-07|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-08|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-09|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-10|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-11|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-12|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-13|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-14|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-15|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-16|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-17|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-18|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-19|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-20|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-21|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-22|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-23|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-24|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-25|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-26|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-27|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-28|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-29|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-11-30|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-01|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-02|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-03|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-04|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-05|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-06|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-07|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-08|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-09|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-10|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-11|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-12|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-13|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-14|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-15|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-16|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-17|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-18|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-19|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-20|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-21|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-22|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-23|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-24|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2021-12-25|28142.0|0|84974.0|0|88309.0|0|41080.0|0
