|dates|Massac_Illinois_UnitedStates.JHU_ConfirmedCases.data|Massac_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Massac_Illinois_UnitedStates.NYT_ConfirmedCases.data|Massac_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Massac_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Massac_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Massac_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Massac_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2137.0|0|2137.0|0|48.0|0|0.0|100
0|2021-10-18|2141.0|0|2141.0|0|48.0|0|0.0|100
0|2021-10-19|2143.0|0|2143.0|0|49.0|0|0.0|100
0|2021-10-20|2155.0|0|2155.0|0|50.0|0|0.0|100
0|2021-10-21|2158.0|0|2158.0|0|50.0|0|0.0|100
0|2021-10-22|2165.0|0|2165.0|0|51.0|0|0.0|100
0|2021-10-23|2165.0|0|2165.0|0|51.0|0|0.0|100
0|2021-10-24|2165.0|0|2165.0|0|51.0|0|0.0|100
0|2021-10-25|2177.0|0|2177.0|0|51.0|0|0.0|100
0|2021-10-26|2181.0|0|2181.0|0|51.0|0|0.0|100
0|2021-10-27|2184.0|0|2184.0|0|51.0|0|0.0|100
0|2021-10-28|2189.0|0|2189.0|0|51.0|0|0.0|100
0|2021-10-29|2193.0|0|2193.0|0|51.0|0|0.0|100
0|2021-10-30|2193.0|0|2193.0|0|51.0|0|0.0|100
0|2021-10-31|2193.0|0|2193.0|0|51.0|0|0.0|100
0|2021-11-01|2203.0|0|2203.0|0|51.0|0|0.0|100
0|2021-11-02|2206.0|0|2206.0|0|52.0|0|0.0|100
0|2021-11-03|2214.0|0|2214.0|0|53.0|0|0.0|100
0|2021-11-04|2223.0|0|2223.0|0|53.0|0|0.0|100
0|2021-11-05|2224.0|0|2224.0|0|53.0|0|0.0|100
0|2021-11-06|2224.0|0|2224.0|0|53.0|0|0.0|100
0|2021-11-07|2224.0|0|2224.0|0|53.0|0|0.0|100
0|2021-11-08|2228.0|0|2228.0|0|53.0|0|0.0|100
0|2021-11-09|2235.0|0|2235.0|0|54.0|0|0.0|100
0|2021-11-10|2235.0|0|2241.0|0|54.0|0|0.0|100
0|2021-11-11|2241.0|0|2241.0|0|54.0|0|0.0|100
0|2021-11-12|2246.0|0|2246.0|0|54.0|0|0.0|100
0|2021-11-13|2246.0|0|2246.0|0|54.0|0|0.0|100
0|2021-11-14|2246.0|0|2246.0|0|54.0|0|0.0|100
0|2021-11-15|2254.0|0|2254.0|0|54.0|0|0.0|100
0|2021-11-16|2261.0|0|2261.0|0|54.0|0|0.0|100
0|2021-11-17|2267.0|0|2267.0|0|54.0|0|0.0|100
0|2021-11-18|2272.0|0|2272.0|0|54.0|0|0.0|100
0|2021-11-19|2277.0|0|2277.0|0|54.0|0|0.0|100
0|2021-11-20|2277.0|0|2277.0|0|54.0|0|0.0|100
