|dates|Portage_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Portage_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Portage_Wisconsin_UnitedStates.Male_Total_Population.data|Portage_Wisconsin_UnitedStates.Male_Total_Population.missing|Portage_Wisconsin_UnitedStates.Female_Total_Population.data|Portage_Wisconsin_UnitedStates.Female_Total_Population.missing|Portage_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Portage_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-18|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-19|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-20|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-21|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-22|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-23|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-24|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-25|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-26|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-27|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-28|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-29|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-30|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-10-31|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-01|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-02|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-03|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-04|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-05|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-06|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-07|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-08|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-09|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-10|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-11|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-12|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-13|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-14|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-15|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-16|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-17|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-18|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-19|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-20|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-21|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-22|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-23|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-24|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-25|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-26|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-27|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-28|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-29|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-11-30|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-01|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-02|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-03|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-04|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-05|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-06|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-07|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-08|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-09|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-10|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-11|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-12|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-13|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-14|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-15|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-16|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-17|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-18|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-19|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-20|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-21|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-22|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-23|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-24|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-25|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-26|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-27|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-28|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-29|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-30|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2021-12-31|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2022-01-01|11830.0|0|35759.0|0|35183.0|0|13665.0|0
0|2022-01-02|11830.0|0|35759.0|0|35183.0|0|13665.0|0
