|dates|Potter_Texas_UnitedStates.JHU_ConfirmedCases.data|Potter_Texas_UnitedStates.JHU_ConfirmedCases.missing|Potter_Texas_UnitedStates.NYT_ConfirmedCases.data|Potter_Texas_UnitedStates.NYT_ConfirmedCases.missing|Potter_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Potter_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Potter_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Potter_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23053.0|0|23053.0|0|543.0|0|0.0|100
0|2021-10-18|23091.0|0|23091.0|0|543.0|0|0.0|100
0|2021-10-19|23157.0|0|23157.0|0|544.0|0|0.0|100
0|2021-10-20|23201.0|0|23201.0|0|544.0|0|0.0|100
0|2021-10-21|23242.0|0|23242.0|0|544.0|0|0.0|100
0|2021-10-22|23274.0|0|23274.0|0|544.0|0|0.0|100
0|2021-10-23|23274.0|0|23274.0|0|544.0|0|0.0|100
0|2021-10-24|23274.0|0|23274.0|0|544.0|0|0.0|100
0|2021-10-25|23307.0|0|23307.0|0|544.0|0|0.0|100
0|2021-10-26|23362.0|0|23362.0|0|545.0|0|0.0|100
0|2021-10-27|23420.0|0|23420.0|0|545.0|0|0.0|100
0|2021-10-28|23491.0|0|23491.0|0|547.0|0|0.0|100
0|2021-10-29|23528.0|0|23528.0|0|547.0|0|0.0|100
0|2021-10-30|23528.0|0|23528.0|0|547.0|0|0.0|100
0|2021-10-31|23528.0|0|23528.0|0|547.0|0|0.0|100
0|2021-11-01|23546.0|0|23546.0|0|549.0|0|0.0|100
0|2021-11-02|23594.0|0|23594.0|0|551.0|0|0.0|100
0|2021-11-03|23679.0|0|23679.0|0|552.0|0|0.0|100
0|2021-11-04|23719.0|0|23719.0|0|552.0|0|0.0|100
0|2021-11-05|23771.0|0|23771.0|0|552.0|0|0.0|100
0|2021-11-06|23771.0|0|23771.0|0|552.0|0|0.0|100
0|2021-11-07|23771.0|0|23771.0|0|552.0|0|0.0|100
0|2021-11-08|23800.0|0|23800.0|0|552.0|0|0.0|100
0|2021-11-09|23877.0|0|23877.0|0|555.0|0|0.0|100
0|2021-11-10|23920.0|0|23920.0|0|556.0|0|0.0|100
0|2021-11-11|23920.0|0|23920.0|0|556.0|0|0.0|100
0|2021-11-12|24000.0|0|24000.0|0|557.0|0|0.0|100
0|2021-11-13|24000.0|0|24000.0|0|557.0|0|0.0|100
0|2021-11-14|24000.0|0|24000.0|0|557.0|0|0.0|100
0|2021-11-15|24093.0|0|24093.0|0|557.0|0|0.0|100
0|2021-11-16|24214.0|0|24214.0|0|557.0|0|0.0|100
0|2021-11-17|24312.0|0|24312.0|0|561.0|0|0.0|100
0|2021-11-18|24376.0|0|24376.0|0|561.0|0|0.0|100
0|2021-11-19|24418.0|0|24418.0|0|563.0|0|0.0|100
0|2021-11-20|24418.0|0|24418.0|0|563.0|0|0.0|100
0|2021-11-21|24418.0|0|24418.0|0|563.0|0|0.0|100
0|2021-11-22|24486.0|0|24486.0|0|563.0|0|0.0|100
0|2021-11-23|24598.0|0|24598.0|0|564.0|0|0.0|100
0|2021-11-24|24708.0|0|24708.0|0|565.0|0|0.0|100
0|2021-11-25|24708.0|0|24708.0|0|565.0|0|0.0|100
0|2021-11-26|24708.0|0|24708.0|0|565.0|0|0.0|100
0|2021-11-27|24708.0|0|24708.0|0|565.0|0|0.0|100
0|2021-11-28|24708.0|0|24708.0|0|565.0|0|0.0|100
0|2021-11-29|24759.0|0|24759.0|0|565.0|0|0.0|100
0|2021-11-30|24992.0|0|24992.0|0|567.0|0|0.0|100
0|2021-12-01|25099.0|0|25099.0|0|569.0|0|0.0|100
0|2021-12-02|25231.0|0|25231.0|0|572.0|0|0.0|100
0|2021-12-03|25370.0|0|25370.0|0|573.0|0|0.0|100
0|2021-12-04|25370.0|0|25370.0|0|573.0|0|0.0|100
