|dates|Fayette_Indiana_UnitedStates.JHU_ConfirmedCases.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Indiana_UnitedStates.NYT_ConfirmedCases.data|Fayette_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Fayette_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4021.0|0|4160.0|0|86.0|0|0.0|100
0|2021-10-18|4042.0|0|4181.0|0|86.0|0|0.0|100
0|2021-10-19|4049.0|0|4188.0|0|87.0|0|0.0|100
0|2021-10-20|4057.0|0|4196.0|0|87.0|0|0.0|100
0|2021-10-21|4061.0|0|4200.0|0|87.0|0|0.0|100
0|2021-10-22|4065.0|0|4204.0|0|87.0|0|0.0|100
0|2021-10-23|4065.0|0|4204.0|0|87.0|0|0.0|100
0|2021-10-24|4065.0|0|4204.0|0|87.0|0|0.0|100
0|2021-10-25|4073.0|0|4212.0|0|87.0|0|0.0|100
0|2021-10-26|4075.0|0|4214.0|0|87.0|0|0.0|100
0|2021-10-27|4075.0|0|4215.0|0|88.0|0|0.0|100
0|2021-10-28|4077.0|0|4217.0|0|88.0|0|0.0|100
0|2021-10-29|4082.0|0|4222.0|0|89.0|0|0.0|100
0|2021-10-30|4082.0|0|4222.0|0|89.0|0|0.0|100
0|2021-10-31|4082.0|0|4222.0|0|89.0|0|0.0|100
0|2021-11-01|4092.0|0|4232.0|0|89.0|0|0.0|100
0|2021-11-02|4100.0|0|4240.0|0|90.0|0|0.0|100
0|2021-11-03|4110.0|0|4249.0|0|90.0|0|0.0|100
0|2021-11-04|4116.0|0|4256.0|0|90.0|0|0.0|100
0|2021-11-05|4118.0|0|4258.0|0|90.0|0|0.0|100
0|2021-11-06|4118.0|0|4258.0|0|90.0|0|0.0|100
0|2021-11-07|4118.0|0|4258.0|0|90.0|0|0.0|100
0|2021-11-08|4133.0|0|4273.0|0|91.0|0|0.0|100
0|2021-11-09|4140.0|0|4280.0|0|91.0|0|0.0|100
0|2021-11-10|4140.0|0|4283.0|0|91.0|0|0.0|100
0|2021-11-11|4179.0|0|4319.0|0|91.0|0|0.0|100
0|2021-11-12|4182.0|0|4322.0|0|91.0|0|0.0|100
0|2021-11-13|4182.0|0|4322.0|0|91.0|0|0.0|100
0|2021-11-14|4182.0|0|4322.0|0|91.0|0|0.0|100
0|2021-11-15|4193.0|0|4333.0|0|91.0|0|0.0|100
0|2021-11-16|4206.0|0|4346.0|0|91.0|0|0.0|100
0|2021-11-17|4217.0|0|4357.0|0|92.0|0|0.0|100
0|2021-11-18|4222.0|0|4362.0|0|92.0|0|0.0|100
0|2021-11-19|4231.0|0|4371.0|0|92.0|0|0.0|100
0|2021-11-20|4231.0|0|4371.0|0|92.0|0|0.0|100
0|2021-11-21|4231.0|0|4371.0|0|92.0|0|0.0|100
0|2021-11-22|4261.0|0|4401.0|0|94.0|0|0.0|100
0|2021-11-23|4278.0|0|4418.0|0|94.0|0|0.0|100
0|2021-11-24|4290.0|0|4430.0|0|94.0|0|0.0|100
0|2021-11-25|4290.0|0|4430.0|0|94.0|0|0.0|100
0|2021-11-26|4290.0|0|4430.0|0|94.0|0|0.0|100
0|2021-11-27|4290.0|0|4430.0|0|94.0|0|0.0|100
0|2021-11-28|4290.0|0|4430.0|0|94.0|0|0.0|100
0|2021-11-29|4356.0|0|4496.0|0|94.0|0|0.0|100
0|2021-11-30|4384.0|0|4524.0|0|94.0|0|0.0|100
0|2021-12-01|4428.0|0|4568.0|0|94.0|0|0.0|100
0|2021-12-02|4428.0|0|4624.0|0|94.0|0|0.0|100
0|2021-12-03|4524.0|0|4665.0|0|96.0|0|0.0|100
0|2021-12-04|4524.0|0|4665.0|0|96.0|0|0.0|100
0|2021-12-05|4524.0|0|4665.0|0|96.0|0|0.0|100
0|2021-12-06|4625.0|0|4766.0|0|97.0|0|0.0|100
0|2021-12-07|4652.0|0|4793.0|0|98.0|0|0.0|100
0|2021-12-08|4691.0|0|4832.0|0|99.0|0|0.0|100
0|2021-12-09|4714.0|0|4855.0|0|100.0|0|0.0|100
0|2021-12-10|4740.0|0|4881.0|0|101.0|0|0.0|100
0|2021-12-11|4740.0|0|4881.0|0|101.0|0|0.0|100
0|2021-12-12|4740.0|0|4881.0|0|101.0|0|0.0|100
0|2021-12-13|4824.0|0|4965.0|0|101.0|0|0.0|100
0|2021-12-14|4824.0|0|4987.0|0|101.0|0|0.0|100
0|2021-12-15|4860.0|0|5002.0|0|104.0|0|0.0|100
0|2021-12-16|4885.0|0|5027.0|0|104.0|0|0.0|100
0|2021-12-17|4958.0|0|5100.0|0|105.0|0|0.0|100
0|2021-12-18|4958.0|0|5100.0|0|105.0|0|0.0|100
0|2021-12-19|4958.0|0|5100.0|0|105.0|0|0.0|100
0|2021-12-20|4990.0|0|5132.0|0|105.0|0|0.0|100
0|2021-12-21|5005.0|0|5147.0|0|106.0|0|0.0|100
0|2021-12-22|5031.0|0|5173.0|0|108.0|0|0.0|100
0|2021-12-23|5031.0|0|5173.0|0|108.0|0|0.0|100
0|2021-12-24|5031.0|0|5173.0|0|108.0|0|0.0|100
0|2021-12-25|5031.0|0|5173.0|0|108.0|0|0.0|100
0|2021-12-26|5031.0|0|5173.0|0|108.0|0|0.0|100
0|2021-12-27|5092.0|0|5234.0|0|110.0|0|0.0|100
0|2021-12-28|5103.0|0|5245.0|0|110.0|0|0.0|100
0|2021-12-29|5117.0|0|5259.0|0|110.0|0|0.0|100
0|2021-12-30|5154.0|0|5296.0|0|110.0|0|0.0|100
