|dates|St.Clair_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Clair_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Clair_Illinois_UnitedStates.Male_Total_Population.data|St.Clair_Illinois_UnitedStates.Male_Total_Population.missing|St.Clair_Illinois_UnitedStates.Female_Total_Population.data|St.Clair_Illinois_UnitedStates.Female_Total_Population.missing|St.Clair_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|St.Clair_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-18|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-19|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-20|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-21|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-22|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-23|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-24|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-25|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-26|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-27|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-28|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-29|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-30|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-10-31|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-11-01|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-11-02|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-11-03|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-11-04|41261.0|0|125939.0|0|135120.0|0|61073.0|0
0|2021-11-05|41261.0|0|125939.0|0|135120.0|0|61073.0|0
