|dates|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hayes_Nebraska_UnitedStates.Male_Total_Population.data|Hayes_Nebraska_UnitedStates.Male_Total_Population.missing|Hayes_Nebraska_UnitedStates.Female_Total_Population.data|Hayes_Nebraska_UnitedStates.Female_Total_Population.missing|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-18|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-19|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-20|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-21|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-22|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-23|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-24|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-25|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-26|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-27|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-28|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-29|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-30|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-10-31|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-01|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-02|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-03|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-04|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-05|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-06|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-07|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-08|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-09|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-10|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-11|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-12|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-13|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-14|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-15|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-16|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-17|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-18|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-19|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-20|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-21|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-22|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-23|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-24|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-25|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-26|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-27|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-28|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-29|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-11-30|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-01|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-02|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-03|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-04|252.0|0|474.0|0|442.0|0|206.0|0
