|dates|Phillips_Kansas_UnitedStates.JHU_ConfirmedCases.data|Phillips_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Phillips_Kansas_UnitedStates.NYT_ConfirmedCases.data|Phillips_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Phillips_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Phillips_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Phillips_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Phillips_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|836.0|0|836.0|0|26.0|0|0.0|100
0|2021-10-18|843.0|0|843.0|0|26.0|0|0.0|100
0|2021-10-19|843.0|0|843.0|0|26.0|0|0.0|100
0|2021-10-20|858.0|0|858.0|0|26.0|0|0.0|100
0|2021-10-21|858.0|0|858.0|0|26.0|0|0.0|100
0|2021-10-22|879.0|0|879.0|0|26.0|0|0.0|100
0|2021-10-23|879.0|0|879.0|0|26.0|0|0.0|100
0|2021-10-24|879.0|0|879.0|0|26.0|0|0.0|100
0|2021-10-25|882.0|0|882.0|0|26.0|0|0.0|100
0|2021-10-26|882.0|0|882.0|0|26.0|0|0.0|100
0|2021-10-27|895.0|0|895.0|0|27.0|0|0.0|100
0|2021-10-28|895.0|0|895.0|0|27.0|0|0.0|100
0|2021-10-29|903.0|0|903.0|0|27.0|0|0.0|100
0|2021-10-30|903.0|0|903.0|0|27.0|0|0.0|100
0|2021-10-31|903.0|0|903.0|0|27.0|0|0.0|100
0|2021-11-01|910.0|0|910.0|0|28.0|0|0.0|100
0|2021-11-02|910.0|0|910.0|0|28.0|0|0.0|100
0|2021-11-03|923.0|0|923.0|0|28.0|0|0.0|100
0|2021-11-04|923.0|0|923.0|0|28.0|0|0.0|100
0|2021-11-05|933.0|0|933.0|0|28.0|0|0.0|100
0|2021-11-06|933.0|0|933.0|0|28.0|0|0.0|100
0|2021-11-07|933.0|0|933.0|0|28.0|0|0.0|100
0|2021-11-08|936.0|0|936.0|0|28.0|0|0.0|100
0|2021-11-09|936.0|0|936.0|0|28.0|0|0.0|100
0|2021-11-10|936.0|0|945.0|0|28.0|0|0.0|100
0|2021-11-11|945.0|0|945.0|0|28.0|0|0.0|100
0|2021-11-12|949.0|0|949.0|0|28.0|0|0.0|100
0|2021-11-13|949.0|0|949.0|0|28.0|0|0.0|100
0|2021-11-14|949.0|0|949.0|0|28.0|0|0.0|100
0|2021-11-15|957.0|0|957.0|0|28.0|0|0.0|100
0|2021-11-16|957.0|0|957.0|0|28.0|0|0.0|100
0|2021-11-17|964.0|0|964.0|0|28.0|0|0.0|100
0|2021-11-18|964.0|0|964.0|0|28.0|0|0.0|100
0|2021-11-19|972.0|0|972.0|0|28.0|0|0.0|100
0|2021-11-20|972.0|0|972.0|0|28.0|0|0.0|100
0|2021-11-21|972.0|0|972.0|0|28.0|0|0.0|100
0|2021-11-22|974.0|0|974.0|0|28.0|0|0.0|100
0|2021-11-23|974.0|0|974.0|0|28.0|0|0.0|100
0|2021-11-24|974.0|0|976.0|0|28.0|0|0.0|100
0|2021-11-25|976.0|0|976.0|0|28.0|0|0.0|100
0|2021-11-26|976.0|0|976.0|0|28.0|0|0.0|100
0|2021-11-27|976.0|0|976.0|0|28.0|0|0.0|100
0|2021-11-28|976.0|0|976.0|0|28.0|0|0.0|100
0|2021-11-29|983.0|0|983.0|0|28.0|0|0.0|100
0|2021-11-30|983.0|0|983.0|0|28.0|0|0.0|100
0|2021-12-01|989.0|0|989.0|0|28.0|0|0.0|100
0|2021-12-02|989.0|0|989.0|0|28.0|0|0.0|100
0|2021-12-03|989.0|0|1002.0|0|28.0|0|0.0|100
0|2021-12-04|1002.0|0|1002.0|0|28.0|0|0.0|100
0|2021-12-05|1002.0|0|1002.0|0|28.0|0|0.0|100
0|2021-12-06|1009.0|0|1009.0|0|28.0|0|0.0|100
