|dates|Buncombe_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Buncombe_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Buncombe_NorthCarolina_UnitedStates.Male_Total_Population.data|Buncombe_NorthCarolina_UnitedStates.Male_Total_Population.missing|Buncombe_NorthCarolina_UnitedStates.Female_Total_Population.data|Buncombe_NorthCarolina_UnitedStates.Female_Total_Population.missing|Buncombe_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Buncombe_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-18|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-19|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-20|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-21|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-22|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-23|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-24|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-25|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-26|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-27|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-28|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-29|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-30|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-10-31|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-01|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-02|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-03|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-04|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-05|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-06|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-07|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-08|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-09|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-10|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-11|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-12|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-13|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-14|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-15|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-16|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-17|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-18|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-19|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-20|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-21|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-22|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-23|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-24|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-25|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-26|51828.0|0|124207.0|0|134896.0|0|47834.0|0
0|2021-11-27|51828.0|0|124207.0|0|134896.0|0|47834.0|0
