|dates|Payette_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Payette_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Payette_Idaho_UnitedStates.Male_Total_Population.data|Payette_Idaho_UnitedStates.Male_Total_Population.missing|Payette_Idaho_UnitedStates.Female_Total_Population.data|Payette_Idaho_UnitedStates.Female_Total_Population.missing|Payette_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Payette_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-18|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-19|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-20|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-21|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-22|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-23|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-24|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-25|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-26|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-27|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-28|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-29|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-30|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-10-31|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-01|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-02|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-03|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-04|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-05|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-06|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-07|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-08|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-09|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-10|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-11|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-12|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-13|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-14|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-15|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-16|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-17|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-18|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-19|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-20|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-21|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-22|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-23|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-24|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-25|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-26|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-27|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-28|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-29|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-11-30|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-01|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-02|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-03|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-04|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-05|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-06|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-07|4331.0|0|11755.0|0|11796.0|0|6171.0|0
0|2021-12-08|4331.0|0|11755.0|0|11796.0|0|6171.0|0
