|dates|Bond_Illinois_UnitedStates.JHU_ConfirmedCases.data|Bond_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Bond_Illinois_UnitedStates.NYT_ConfirmedCases.data|Bond_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Bond_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Bond_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Bond_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Bond_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2550.0|0|2550.0|0|24.0|0|0.0|100
0|2021-10-18|2556.0|0|2556.0|0|25.0|0|0.0|100
0|2021-10-19|2563.0|0|2563.0|0|25.0|0|0.0|100
0|2021-10-20|2569.0|0|2569.0|0|25.0|0|0.0|100
0|2021-10-21|2574.0|0|2574.0|0|25.0|0|0.0|100
0|2021-10-22|2575.0|0|2575.0|0|25.0|0|0.0|100
0|2021-10-23|2575.0|0|2575.0|0|25.0|0|0.0|100
0|2021-10-24|2575.0|0|2575.0|0|25.0|0|0.0|100
0|2021-10-25|2580.0|0|2580.0|0|25.0|0|0.0|100
0|2021-10-26|2581.0|0|2581.0|0|25.0|0|0.0|100
0|2021-10-27|2582.0|0|2582.0|0|25.0|0|0.0|100
0|2021-10-28|2584.0|0|2584.0|0|25.0|0|0.0|100
0|2021-10-29|2592.0|0|2592.0|0|25.0|0|0.0|100
0|2021-10-30|2592.0|0|2592.0|0|25.0|0|0.0|100
0|2021-10-31|2592.0|0|2592.0|0|25.0|0|0.0|100
0|2021-11-01|2597.0|0|2597.0|0|26.0|0|0.0|100
0|2021-11-02|2604.0|0|2604.0|0|26.0|0|0.0|100
0|2021-11-03|2610.0|0|2610.0|0|26.0|0|0.0|100
0|2021-11-04|2618.0|0|2618.0|0|27.0|0|0.0|100
0|2021-11-05|2624.0|0|2624.0|0|27.0|0|0.0|100
0|2021-11-06|2624.0|0|2624.0|0|27.0|0|0.0|100
0|2021-11-07|2624.0|0|2624.0|0|27.0|0|0.0|100
0|2021-11-08|2632.0|0|2632.0|0|27.0|0|0.0|100
0|2021-11-09|2641.0|0|2641.0|0|27.0|0|0.0|100
0|2021-11-10|2641.0|0|2642.0|0|27.0|0|0.0|100
0|2021-11-11|2642.0|0|2642.0|0|27.0|0|0.0|100
0|2021-11-12|2645.0|0|2645.0|0|28.0|0|0.0|100
0|2021-11-13|2645.0|0|2645.0|0|28.0|0|0.0|100
0|2021-11-14|2645.0|0|2645.0|0|28.0|0|0.0|100
0|2021-11-15|2655.0|0|2655.0|0|28.0|0|0.0|100
0|2021-11-16|2664.0|0|2664.0|0|28.0|0|0.0|100
0|2021-11-17|2670.0|0|2670.0|0|28.0|0|0.0|100
0|2021-11-18|2681.0|0|2681.0|0|28.0|0|0.0|100
0|2021-11-19|2688.0|0|2688.0|0|28.0|0|0.0|100
0|2021-11-20|2688.0|0|2688.0|0|28.0|0|0.0|100
0|2021-11-21|2688.0|0|2688.0|0|28.0|0|0.0|100
0|2021-11-22|2690.0|0|2690.0|0|28.0|0|0.0|100
0|2021-11-23|2694.0|0|2694.0|0|28.0|0|0.0|100
0|2021-11-24|2698.0|0|2698.0|0|28.0|0|0.0|100
0|2021-11-25|2698.0|0|2698.0|0|28.0|0|0.0|100
