|dates|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sullivan_Pennsylvania_UnitedStates.Male_Total_Population.data|Sullivan_Pennsylvania_UnitedStates.Male_Total_Population.missing|Sullivan_Pennsylvania_UnitedStates.Female_Total_Population.data|Sullivan_Pennsylvania_UnitedStates.Female_Total_Population.missing|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-18|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-19|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-20|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-21|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-22|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-23|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-24|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-25|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-26|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-27|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-28|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-29|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-30|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-10-31|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-01|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-02|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-03|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-04|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-05|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-06|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-07|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-08|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-09|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-10|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-11|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-12|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-13|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-14|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-15|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-16|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-17|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-18|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-19|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-20|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-21|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-22|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-23|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-24|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-25|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-26|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-27|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-28|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-29|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-11-30|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-01|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-02|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-03|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-04|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-05|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-06|1718.0|0|3176.0|0|2895.0|0|645.0|0
