|dates|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|LeFlore_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|LeFlore_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7885.0|0|7885.0|0|77.0|0|0.0|100
0|2021-10-18|7885.0|0|7885.0|0|77.0|0|0.0|100
0|2021-10-19|7885.0|0|7885.0|0|77.0|0|0.0|100
0|2021-10-20|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-21|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-22|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-23|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-24|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-25|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-26|7963.0|0|7963.0|0|85.0|0|0.0|100
0|2021-10-27|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-10-28|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-10-29|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-10-30|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-10-31|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-11-01|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-11-02|8018.0|0|8018.0|0|89.0|0|0.0|100
0|2021-11-03|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-04|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-05|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-06|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-07|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-08|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-09|8064.0|0|8064.0|0|89.0|0|0.0|100
0|2021-11-10|8064.0|0|8131.0|0|89.0|0|0.0|100
0|2021-11-11|8064.0|0|8131.0|0|89.0|0|0.0|100
0|2021-11-12|8131.0|0|8131.0|0|89.0|0|0.0|100
0|2021-11-13|8131.0|0|8131.0|0|89.0|0|0.0|100
