|dates|Montcalm_Michigan_UnitedStates.BLS_EmployedPopulation.data|Montcalm_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Montcalm_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Montcalm_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Montcalm_Michigan_UnitedStates.BLS_UnemploymentRate.data|Montcalm_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Montcalm_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Montcalm_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-19|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-20|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-21|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-22|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-23|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-24|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-25|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-26|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-27|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-28|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-29|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-30|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2021-12-31|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-01|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-02|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-03|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-04|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-05|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-06|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-07|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-08|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-09|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-10|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-11|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-12|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-13|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-14|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-15|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-16|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
0|2022-01-17|26139.0|0|1587.0|0|5.723869292360961|0|27726.0|0
