|dates|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Nassau_NewYork_UnitedStates.NYT_ConfirmedDeaths.data|Nassau_NewYork_UnitedStates.NYT_ConfirmedDeaths.missing|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Nassau_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|3286.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|3286.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|3290.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|3292.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|3293.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|3296.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|3299.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|3300.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|3300.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|3301.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|3302.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|3303.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|3305.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|3308.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|3310.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|3311.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|3311.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|3313.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|3314.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|3314.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|3315.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|3316.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|3317.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|3317.0|0|0.0|100|0.0|100
