|dates|Butts_Georgia_UnitedStates.JHU_ConfirmedCases.data|Butts_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Butts_Georgia_UnitedStates.NYT_ConfirmedCases.data|Butts_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Butts_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Butts_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Butts_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Butts_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4623.0|0|4627.0|0|107.0|0|0.0|100
0|2021-10-18|4632.0|0|4636.0|0|110.0|0|0.0|100
0|2021-10-19|4633.0|0|4637.0|0|110.0|0|0.0|100
0|2021-10-20|4637.0|0|4641.0|0|110.0|0|0.0|100
0|2021-10-21|4641.0|0|4645.0|0|111.0|0|0.0|100
0|2021-10-22|4647.0|0|4651.0|0|111.0|0|0.0|100
0|2021-10-23|4647.0|0|4651.0|0|111.0|0|0.0|100
0|2021-10-24|4647.0|0|4651.0|0|111.0|0|0.0|100
0|2021-10-25|4655.0|0|4661.0|0|113.0|0|0.0|100
0|2021-10-26|4656.0|0|4662.0|0|113.0|0|0.0|100
0|2021-10-27|4659.0|0|4665.0|0|113.0|0|0.0|100
0|2021-10-28|4664.0|0|4670.0|0|113.0|0|0.0|100
0|2021-10-29|4667.0|0|4673.0|0|114.0|0|0.0|100
0|2021-10-30|4667.0|0|4673.0|0|114.0|0|0.0|100
0|2021-10-31|4667.0|0|4673.0|0|114.0|0|0.0|100
0|2021-11-01|4672.0|0|4678.0|0|115.0|0|0.0|100
0|2021-11-02|4674.0|0|4680.0|0|116.0|0|0.0|100
0|2021-11-03|4679.0|0|4685.0|0|117.0|0|0.0|100
0|2021-11-04|4682.0|0|4688.0|0|119.0|0|0.0|100
0|2021-11-05|4685.0|0|4691.0|0|119.0|0|0.0|100
0|2021-11-06|4685.0|0|4691.0|0|119.0|0|0.0|100
0|2021-11-07|4685.0|0|4691.0|0|119.0|0|0.0|100
0|2021-11-08|4685.0|0|4691.0|0|119.0|0|0.0|100
0|2021-11-09|4701.0|0|4707.0|0|121.0|0|0.0|100
0|2021-11-10|4701.0|0|4719.0|0|121.0|0|0.0|100
0|2021-11-11|4713.0|0|4719.0|0|123.0|0|0.0|100
0|2021-11-12|4726.0|0|4732.0|0|123.0|0|0.0|100
0|2021-11-13|4726.0|0|4732.0|0|123.0|0|0.0|100
0|2021-11-14|4726.0|0|4732.0|0|123.0|0|0.0|100
0|2021-11-15|4734.0|0|4739.0|0|123.0|0|0.0|100
0|2021-11-16|4739.0|0|4744.0|0|123.0|0|0.0|100
0|2021-11-17|4743.0|0|4748.0|0|123.0|0|0.0|100
0|2021-11-18|4746.0|0|4751.0|0|123.0|0|0.0|100
0|2021-11-19|4746.0|0|4751.0|0|123.0|0|0.0|100
0|2021-11-20|4746.0|0|4751.0|0|123.0|0|0.0|100
