|dates|Owen_Indiana_UnitedStates.JHU_ConfirmedCases.data|Owen_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Owen_Indiana_UnitedStates.NYT_ConfirmedCases.data|Owen_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Owen_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Owen_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Owen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Owen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3101.0|0|3104.0|0|69.0|0|0.0|100
0|2021-10-18|3120.0|0|3123.0|0|70.0|0|0.0|100
0|2021-10-19|3127.0|0|3130.0|0|70.0|0|0.0|100
0|2021-10-20|3139.0|0|3142.0|0|70.0|0|0.0|100
0|2021-10-21|3141.0|0|3144.0|0|70.0|0|0.0|100
0|2021-10-22|3147.0|0|3150.0|0|71.0|0|0.0|100
0|2021-10-23|3147.0|0|3150.0|0|71.0|0|0.0|100
0|2021-10-24|3147.0|0|3150.0|0|71.0|0|0.0|100
0|2021-10-25|3155.0|0|3158.0|0|71.0|0|0.0|100
0|2021-10-26|3162.0|0|3165.0|0|71.0|0|0.0|100
0|2021-10-27|3176.0|0|3179.0|0|71.0|0|0.0|100
0|2021-10-28|3178.0|0|3181.0|0|71.0|0|0.0|100
0|2021-10-29|3184.0|0|3187.0|0|71.0|0|0.0|100
0|2021-10-30|3184.0|0|3187.0|0|71.0|0|0.0|100
0|2021-10-31|3184.0|0|3187.0|0|71.0|0|0.0|100
0|2021-11-01|3200.0|0|3203.0|0|72.0|0|0.0|100
0|2021-11-02|3209.0|0|3212.0|0|73.0|0|0.0|100
0|2021-11-03|3225.0|0|3228.0|0|74.0|0|0.0|100
0|2021-11-04|3235.0|0|3238.0|0|74.0|0|0.0|100
0|2021-11-05|3246.0|0|3249.0|0|74.0|0|0.0|100
0|2021-11-06|3246.0|0|3249.0|0|74.0|0|0.0|100
0|2021-11-07|3246.0|0|3249.0|0|74.0|0|0.0|100
0|2021-11-08|3269.0|0|3272.0|0|74.0|0|0.0|100
0|2021-11-09|3279.0|0|3282.0|0|74.0|0|0.0|100
0|2021-11-10|3287.0|0|3290.0|0|74.0|0|0.0|100
0|2021-11-11|3306.0|0|3309.0|0|75.0|0|0.0|100
0|2021-11-12|3312.0|0|3315.0|0|75.0|0|0.0|100
0|2021-11-13|3312.0|0|3315.0|0|75.0|0|0.0|100
0|2021-11-14|3312.0|0|3315.0|0|75.0|0|0.0|100
0|2021-11-15|3334.0|0|3337.0|0|75.0|0|0.0|100
0|2021-11-16|3338.0|0|3341.0|0|75.0|0|0.0|100
0|2021-11-17|3353.0|0|3357.0|0|75.0|0|0.0|100
0|2021-11-18|3360.0|0|3364.0|0|75.0|0|0.0|100
0|2021-11-19|3380.0|0|3384.0|0|75.0|0|0.0|100
0|2021-11-20|3380.0|0|3384.0|0|75.0|0|0.0|100
0|2021-11-21|3380.0|0|3384.0|0|75.0|0|0.0|100
0|2021-11-22|3401.0|0|3405.0|0|75.0|0|0.0|100
0|2021-11-23|3406.0|0|3410.0|0|75.0|0|0.0|100
0|2021-11-24|3416.0|0|3420.0|0|76.0|0|0.0|100
0|2021-11-25|3416.0|0|3420.0|0|76.0|0|0.0|100
0|2021-11-26|3416.0|0|3420.0|0|76.0|0|0.0|100
0|2021-11-27|3416.0|0|3420.0|0|76.0|0|0.0|100
