|dates|Pershing_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pershing_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pershing_Nevada_UnitedStates.Male_Total_Population.data|Pershing_Nevada_UnitedStates.Male_Total_Population.missing|Pershing_Nevada_UnitedStates.Female_Total_Population.data|Pershing_Nevada_UnitedStates.Female_Total_Population.missing|Pershing_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Pershing_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-18|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-19|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-20|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-21|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-22|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-23|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-24|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-25|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-26|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-27|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-28|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-29|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-30|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-10-31|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-01|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-02|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-03|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-04|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-05|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-06|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-07|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-08|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-09|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-10|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-11|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-12|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-13|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-14|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-15|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-16|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-17|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-18|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-19|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-20|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-21|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-22|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-23|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-24|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-25|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-26|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-27|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-28|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-29|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-11-30|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-12-01|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-12-02|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-12-03|1063.0|0|4294.0|0|2372.0|0|1086.0|0
0|2021-12-04|1063.0|0|4294.0|0|2372.0|0|1086.0|0
