|dates|Saratoga_NewYork_UnitedStates.JHU_ConfirmedCases.data|Saratoga_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Saratoga_NewYork_UnitedStates.NYT_ConfirmedCases.data|Saratoga_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Saratoga_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Saratoga_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Saratoga_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Saratoga_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|20034.0|0|20034.0|0|197.0|0|0.0|100
0|2021-10-18|20080.0|0|20080.0|0|198.0|0|0.0|100
0|2021-10-19|20111.0|0|20111.0|0|198.0|0|0.0|100
0|2021-10-20|20195.0|0|20195.0|0|199.0|0|0.0|100
0|2021-10-21|20287.0|0|20287.0|0|200.0|0|0.0|100
0|2021-10-22|20342.0|0|20342.0|0|201.0|0|0.0|100
0|2021-10-23|20424.0|0|20424.0|0|202.0|0|0.0|100
0|2021-10-24|20485.0|0|20485.0|0|204.0|0|0.0|100
0|2021-10-25|20545.0|0|20545.0|0|205.0|0|0.0|100
0|2021-10-26|20582.0|0|20582.0|0|205.0|0|0.0|100
0|2021-10-27|20661.0|0|20661.0|0|206.0|0|0.0|100
0|2021-10-28|20720.0|0|20720.0|0|207.0|0|0.0|100
0|2021-10-29|20842.0|0|20842.0|0|208.0|0|0.0|100
0|2021-10-30|20934.0|0|20934.0|0|208.0|0|0.0|100
0|2021-10-31|21003.0|0|21003.0|0|208.0|0|0.0|100
0|2021-11-01|21055.0|0|21055.0|0|208.0|0|0.0|100
0|2021-11-02|21108.0|0|21108.0|0|208.0|0|0.0|100
0|2021-11-03|21190.0|0|21190.0|0|209.0|0|0.0|100
0|2021-11-04|21282.0|0|21282.0|0|210.0|0|0.0|100
0|2021-11-05|21366.0|0|21366.0|0|210.0|0|0.0|100
0|2021-11-06|21455.0|0|21455.0|0|211.0|0|0.0|100
0|2021-11-07|21555.0|0|21555.0|0|211.0|0|0.0|100
