|dates|Denali_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Denali_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Denali_Alaska_UnitedStates.Male_Total_Population.data|Denali_Alaska_UnitedStates.Male_Total_Population.missing|Denali_Alaska_UnitedStates.Female_Total_Population.data|Denali_Alaska_UnitedStates.Female_Total_Population.missing|Denali_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Denali_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-18|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-19|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-20|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-21|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-22|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-23|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-24|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-25|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-26|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-27|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-28|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-29|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-30|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-10-31|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-01|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-02|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-03|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-04|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-05|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-06|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-07|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-08|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-09|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-10|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-11|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-12|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-13|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-14|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-15|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-16|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-17|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-18|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-19|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-20|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-21|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-22|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-23|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-24|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-25|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-26|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-27|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-28|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-29|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-11-30|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-01|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-02|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-03|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-04|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-05|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-06|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-07|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-08|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-09|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-10|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-11|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-12|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-13|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-14|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-15|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-16|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-17|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-18|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-19|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-20|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-21|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-22|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-23|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-24|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-25|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-26|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-27|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-28|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-29|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-30|245.0|0|1146.0|0|913.0|0|384.0|0
0|2021-12-31|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-01|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-02|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-03|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-04|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-05|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-06|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-07|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-08|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-09|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-10|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-11|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-12|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-13|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-14|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-15|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-16|245.0|0|1146.0|0|913.0|0|384.0|0
0|2022-01-17|245.0|0|1146.0|0|913.0|0|384.0|0
