|dates|Jackson_Illinois_UnitedStates.JHU_ConfirmedCases.data|Jackson_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Illinois_UnitedStates.NYT_ConfirmedCases.data|Jackson_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8065.0|0|8065.0|0|94.0|0|0.0|100
0|2021-10-18|8083.0|0|8083.0|0|94.0|0|0.0|100
0|2021-10-19|8087.0|0|8087.0|0|94.0|0|0.0|100
0|2021-10-20|8086.0|0|8086.0|0|94.0|0|0.0|100
0|2021-10-21|8093.0|0|8093.0|0|94.0|0|0.0|100
0|2021-10-22|8104.0|0|8104.0|0|94.0|0|0.0|100
0|2021-10-23|8104.0|0|8104.0|0|94.0|0|0.0|100
0|2021-10-24|8104.0|0|8104.0|0|94.0|0|0.0|100
0|2021-10-25|8122.0|0|8122.0|0|95.0|0|0.0|100
0|2021-10-26|8126.0|0|8126.0|0|95.0|0|0.0|100
0|2021-10-27|8132.0|0|8132.0|0|95.0|0|0.0|100
0|2021-10-28|8136.0|0|8136.0|0|95.0|0|0.0|100
0|2021-10-29|8140.0|0|8140.0|0|95.0|0|0.0|100
0|2021-10-30|8140.0|0|8140.0|0|95.0|0|0.0|100
0|2021-10-31|8140.0|0|8140.0|0|95.0|0|0.0|100
0|2021-11-01|8159.0|0|8159.0|0|95.0|0|0.0|100
0|2021-11-02|8165.0|0|8165.0|0|95.0|0|0.0|100
0|2021-11-03|8166.0|0|8166.0|0|95.0|0|0.0|100
0|2021-11-04|8175.0|0|8175.0|0|95.0|0|0.0|100
0|2021-11-05|8178.0|0|8178.0|0|95.0|0|0.0|100
0|2021-11-06|8178.0|0|8178.0|0|95.0|0|0.0|100
