|dates|Kent_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kent_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kent_Texas_UnitedStates.Male_Total_Population.data|Kent_Texas_UnitedStates.Male_Total_Population.missing|Kent_Texas_UnitedStates.Female_Total_Population.data|Kent_Texas_UnitedStates.Female_Total_Population.missing|Kent_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Kent_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-18|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-19|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-20|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-21|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-22|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-23|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-24|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-25|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-26|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-27|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-28|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-29|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-30|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-10-31|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-01|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-02|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-03|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-04|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-05|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-06|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-07|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-08|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-09|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-10|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-11|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-12|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-13|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-14|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-15|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-16|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-17|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-18|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-19|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-20|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-21|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-22|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-23|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-24|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-25|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-26|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-27|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-28|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-29|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-11-30|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-12-01|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-12-02|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-12-03|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-12-04|197.0|0|361.0|0|365.0|0|153.0|0
0|2021-12-05|197.0|0|361.0|0|365.0|0|153.0|0
