|dates|Erie_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Erie_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Erie_Pennsylvania_UnitedStates.Male_Total_Population.data|Erie_Pennsylvania_UnitedStates.Male_Total_Population.missing|Erie_Pennsylvania_UnitedStates.Female_Total_Population.data|Erie_Pennsylvania_UnitedStates.Female_Total_Population.missing|Erie_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Erie_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-18|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-19|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-20|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-21|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-22|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-23|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-24|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-25|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-26|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-27|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-28|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-29|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-30|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-10-31|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-01|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-02|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-03|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-04|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-05|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-06|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-07|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-08|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-09|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-10|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-11|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-12|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-13|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-14|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-15|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-16|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-17|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-18|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-19|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-20|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-21|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-22|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-23|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-24|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-25|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-26|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-27|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-28|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-29|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-11-30|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-01|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-02|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-03|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-04|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-05|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-06|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-07|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-08|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-09|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-10|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-11|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-12|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-13|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-14|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-15|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-16|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-17|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-18|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-19|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-20|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-21|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-22|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-23|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-24|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-25|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-26|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-27|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-28|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-29|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-30|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2021-12-31|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-01|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-02|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-03|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-04|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-05|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-06|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-07|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-08|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-09|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-10|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-11|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-12|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-13|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-14|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-15|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-16|48900.0|0|134373.0|0|137688.0|0|58156.0|0
0|2022-01-17|48900.0|0|134373.0|0|137688.0|0|58156.0|0
