|dates|Macoupin_Illinois_UnitedStates.JHU_ConfirmedCases.data|Macoupin_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Macoupin_Illinois_UnitedStates.NYT_ConfirmedCases.data|Macoupin_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Macoupin_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Macoupin_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Macoupin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Macoupin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6893.0|0|6893.0|0|104.0|0|0.0|100
0|2021-10-18|6927.0|0|6927.0|0|104.0|0|0.0|100
0|2021-10-19|6938.0|0|6938.0|0|104.0|0|0.0|100
0|2021-10-20|6951.0|0|6951.0|0|105.0|0|0.0|100
0|2021-10-21|6965.0|0|6965.0|0|106.0|0|0.0|100
0|2021-10-22|6988.0|0|6988.0|0|106.0|0|0.0|100
0|2021-10-23|6988.0|0|6988.0|0|106.0|0|0.0|100
0|2021-10-24|6988.0|0|6988.0|0|106.0|0|0.0|100
0|2021-10-25|7010.0|0|7010.0|0|107.0|0|0.0|100
0|2021-10-26|7035.0|0|7035.0|0|107.0|0|0.0|100
0|2021-10-27|7058.0|0|7058.0|0|107.0|0|0.0|100
0|2021-10-28|7081.0|0|7081.0|0|107.0|0|0.0|100
0|2021-10-29|7096.0|0|7096.0|0|108.0|0|0.0|100
0|2021-10-30|7096.0|0|7096.0|0|108.0|0|0.0|100
0|2021-10-31|7096.0|0|7096.0|0|108.0|0|0.0|100
0|2021-11-01|7127.0|0|7127.0|0|109.0|0|0.0|100
0|2021-11-02|7146.0|0|7146.0|0|109.0|0|0.0|100
0|2021-11-03|7170.0|0|7170.0|0|109.0|0|0.0|100
0|2021-11-04|7190.0|0|7190.0|0|109.0|0|0.0|100
0|2021-11-05|7213.0|0|7213.0|0|109.0|0|0.0|100
0|2021-11-06|7213.0|0|7213.0|0|109.0|0|0.0|100
0|2021-11-07|7213.0|0|7213.0|0|109.0|0|0.0|100
0|2021-11-08|7245.0|0|7245.0|0|109.0|0|0.0|100
0|2021-11-09|7262.0|0|7262.0|0|109.0|0|0.0|100
0|2021-11-10|7295.0|0|7295.0|0|110.0|0|0.0|100
0|2021-11-11|7295.0|0|7295.0|0|110.0|0|0.0|100
0|2021-11-12|7323.0|0|7323.0|0|111.0|0|0.0|100
0|2021-11-13|7323.0|0|7323.0|0|111.0|0|0.0|100
0|2021-11-14|7323.0|0|7323.0|0|111.0|0|0.0|100
0|2021-11-15|7356.0|0|7356.0|0|113.0|0|0.0|100
0|2021-11-16|7372.0|0|7372.0|0|113.0|0|0.0|100
0|2021-11-17|7388.0|0|7388.0|0|113.0|0|0.0|100
0|2021-11-18|7405.0|0|7405.0|0|113.0|0|0.0|100
0|2021-11-19|7421.0|0|7421.0|0|115.0|0|0.0|100
0|2021-11-20|7421.0|0|7421.0|0|115.0|0|0.0|100
0|2021-11-21|7421.0|0|7421.0|0|115.0|0|0.0|100
0|2021-11-22|7448.0|0|7448.0|0|115.0|0|0.0|100
0|2021-11-23|7464.0|0|7464.0|0|115.0|0|0.0|100
0|2021-11-24|7481.0|0|7481.0|0|115.0|0|0.0|100
0|2021-11-25|7481.0|0|7481.0|0|115.0|0|0.0|100
0|2021-11-26|7481.0|0|7481.0|0|115.0|0|0.0|100
0|2021-11-27|7481.0|0|7481.0|0|115.0|0|0.0|100
0|2021-11-28|7481.0|0|7481.0|0|115.0|0|0.0|100
0|2021-11-29|7542.0|0|7542.0|0|116.0|0|0.0|100
0|2021-11-30|7564.0|0|7564.0|0|116.0|0|0.0|100
0|2021-12-01|7591.0|0|7591.0|0|116.0|0|0.0|100
0|2021-12-02|7640.0|0|7640.0|0|117.0|0|0.0|100
0|2021-12-03|7659.0|0|7659.0|0|118.0|0|0.0|100
0|2021-12-04|7659.0|0|7659.0|0|118.0|0|0.0|100
0|2021-12-05|7659.0|0|7659.0|0|118.0|0|0.0|100
0|2021-12-06|7710.0|0|7710.0|0|118.0|0|0.0|100
0|2021-12-07|7749.0|0|7749.0|0|118.0|0|0.0|100
0|2021-12-08|7795.0|0|7795.0|0|118.0|0|0.0|100
0|2021-12-09|7830.0|0|7830.0|0|118.0|0|0.0|100
0|2021-12-10|7882.0|0|7882.0|0|118.0|0|0.0|100
0|2021-12-11|7882.0|0|7882.0|0|118.0|0|0.0|100
0|2021-12-12|7882.0|0|7882.0|0|118.0|0|0.0|100
0|2021-12-13|7943.0|0|7943.0|0|119.0|0|0.0|100
