|dates|Berkeley_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Berkeley_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Berkeley_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Berkeley_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Berkeley_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Berkeley_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Berkeley_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Berkeley_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-18|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-19|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-20|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-21|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-22|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-23|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-24|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-25|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-26|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-27|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-28|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-29|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-30|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-10-31|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-01|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-02|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-03|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-04|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-05|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-06|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-07|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-08|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-09|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-10|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-11|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-12|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-13|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-14|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-15|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-16|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-17|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-18|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-19|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-20|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-21|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-22|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-23|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-24|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-25|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-26|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-27|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
0|2021-11-28|102304.0|0|3695.0|0|3.4858819422824743|0|105999.0|0
