|dates|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Perry_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Perry_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5118.0|0|5118.0|0|116.0|0|0.0|100
0|2021-10-18|5130.0|0|5130.0|0|116.0|0|0.0|100
0|2021-10-19|5156.0|0|5156.0|0|116.0|0|0.0|100
0|2021-10-20|5167.0|0|5167.0|0|117.0|0|0.0|100
0|2021-10-21|5190.0|0|5190.0|0|119.0|0|0.0|100
0|2021-10-22|5206.0|0|5206.0|0|119.0|0|0.0|100
0|2021-10-23|5219.0|0|5219.0|0|119.0|0|0.0|100
0|2021-10-24|5236.0|0|5236.0|0|119.0|0|0.0|100
0|2021-10-25|5246.0|0|5246.0|0|119.0|0|0.0|100
0|2021-10-26|5256.0|0|5256.0|0|120.0|0|0.0|100
0|2021-10-27|5267.0|0|5267.0|0|121.0|0|0.0|100
0|2021-10-28|5301.0|0|5301.0|0|122.0|0|0.0|100
0|2021-10-29|5309.0|0|5309.0|0|122.0|0|0.0|100
0|2021-10-30|5317.0|0|5317.0|0|122.0|0|0.0|100
0|2021-10-31|5328.0|0|5328.0|0|124.0|0|0.0|100
0|2021-11-01|5328.0|0|5328.0|0|124.0|0|0.0|100
0|2021-11-02|5351.0|0|5351.0|0|125.0|0|0.0|100
0|2021-11-03|5360.0|0|5360.0|0|126.0|0|0.0|100
0|2021-11-04|5381.0|0|5381.0|0|126.0|0|0.0|100
0|2021-11-05|5387.0|0|5387.0|0|127.0|0|0.0|100
0|2021-11-06|5407.0|0|5407.0|0|127.0|0|0.0|100
0|2021-11-07|5416.0|0|5416.0|0|127.0|0|0.0|100
0|2021-11-08|5427.0|0|5427.0|0|127.0|0|0.0|100
0|2021-11-09|5445.0|0|5445.0|0|126.0|0|0.0|100
0|2021-11-10|5460.0|0|5460.0|0|129.0|0|0.0|100
0|2021-11-11|5478.0|0|5478.0|0|130.0|0|0.0|100
0|2021-11-12|5501.0|0|5501.0|0|130.0|0|0.0|100
0|2021-11-13|5585.0|0|5585.0|0|130.0|0|0.0|100
0|2021-11-14|5603.0|0|5603.0|0|130.0|0|0.0|100
