|dates|Whatcom_Washington_UnitedStates.JHU_ConfirmedCases.data|Whatcom_Washington_UnitedStates.JHU_ConfirmedCases.missing|Whatcom_Washington_UnitedStates.NYT_ConfirmedCases.data|Whatcom_Washington_UnitedStates.NYT_ConfirmedCases.missing|Whatcom_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Whatcom_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Whatcom_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Whatcom_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15570.0|0|15570.0|0|152.0|0|0.0|100
0|2021-10-18|15570.0|0|15570.0|0|152.0|0|0.0|100
0|2021-10-19|15802.0|0|15802.0|0|152.0|0|0.0|100
0|2021-10-20|15835.0|0|15835.0|0|153.0|0|0.0|100
0|2021-10-21|15911.0|0|15911.0|0|153.0|0|0.0|100
0|2021-10-22|16009.0|0|16009.0|0|154.0|0|0.0|100
0|2021-10-23|16009.0|0|16009.0|0|154.0|0|0.0|100
0|2021-10-24|16009.0|0|16009.0|0|154.0|0|0.0|100
0|2021-10-25|16191.0|0|16191.0|0|155.0|0|0.0|100
0|2021-10-26|16244.0|0|16244.0|0|156.0|0|0.0|100
0|2021-10-27|16307.0|0|16307.0|0|156.0|0|0.0|100
0|2021-10-28|16396.0|0|16396.0|0|159.0|0|0.0|100
0|2021-10-29|16472.0|0|16472.0|0|161.0|0|0.0|100
0|2021-10-30|16472.0|0|16472.0|0|161.0|0|0.0|100
0|2021-10-31|16472.0|0|16472.0|0|161.0|0|0.0|100
0|2021-11-01|16654.0|0|16654.0|0|163.0|0|0.0|100
0|2021-11-02|16739.0|0|16739.0|0|164.0|0|0.0|100
0|2021-11-03|16786.0|0|16786.0|0|165.0|0|0.0|100
0|2021-11-04|16859.0|0|16859.0|0|167.0|0|0.0|100
0|2021-11-05|16921.0|0|16921.0|0|167.0|0|0.0|100
0|2021-11-06|16921.0|0|16921.0|0|167.0|0|0.0|100
0|2021-11-07|16921.0|0|16921.0|0|167.0|0|0.0|100
0|2021-11-08|17121.0|0|17121.0|0|167.0|0|0.0|100
0|2021-11-09|17195.0|0|17195.0|0|167.0|0|0.0|100
0|2021-11-10|17195.0|0|17242.0|0|167.0|0|0.0|100
0|2021-11-11|17242.0|0|17242.0|0|167.0|0|0.0|100
0|2021-11-12|17384.0|0|17384.0|0|168.0|0|0.0|100
0|2021-11-13|17384.0|0|17384.0|0|168.0|0|0.0|100
0|2021-11-14|17384.0|0|17384.0|0|168.0|0|0.0|100
0|2021-11-15|17576.0|0|17576.0|0|171.0|0|0.0|100
0|2021-11-16|17608.0|0|17608.0|0|171.0|0|0.0|100
0|2021-11-17|17649.0|0|17649.0|0|172.0|0|0.0|100
