|dates|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Pope_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Pope_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11859.0|0|11859.0|0|153.0|0|0.0|100
0|2021-10-18|11862.0|0|11862.0|0|153.0|0|0.0|100
0|2021-10-19|11875.0|0|11875.0|0|153.0|0|0.0|100
0|2021-10-20|11886.0|0|11886.0|0|153.0|0|0.0|100
0|2021-10-21|11894.0|0|11894.0|0|154.0|0|0.0|100
0|2021-10-22|11905.0|0|11905.0|0|156.0|0|0.0|100
0|2021-10-23|11920.0|0|11920.0|0|156.0|0|0.0|100
0|2021-10-24|11929.0|0|11929.0|0|156.0|0|0.0|100
0|2021-10-25|11931.0|0|11931.0|0|156.0|0|0.0|100
0|2021-10-26|11942.0|0|11942.0|0|156.0|0|0.0|100
0|2021-10-27|11949.0|0|11949.0|0|156.0|0|0.0|100
0|2021-10-28|11959.0|0|11959.0|0|157.0|0|0.0|100
0|2021-10-29|11965.0|0|11965.0|0|157.0|0|0.0|100
0|2021-10-30|11973.0|0|11973.0|0|157.0|0|0.0|100
0|2021-10-31|11976.0|0|11976.0|0|157.0|0|0.0|100
0|2021-11-01|11979.0|0|11979.0|0|158.0|0|0.0|100
0|2021-11-02|11999.0|0|11999.0|0|158.0|0|0.0|100
0|2021-11-03|12001.0|0|12001.0|0|158.0|0|0.0|100
0|2021-11-04|12012.0|0|12012.0|0|158.0|0|0.0|100
0|2021-11-05|12021.0|0|12021.0|0|158.0|0|0.0|100
0|2021-11-06|12030.0|0|12030.0|0|158.0|0|0.0|100
0|2021-11-07|12036.0|0|12036.0|0|158.0|0|0.0|100
0|2021-11-08|12036.0|0|12041.0|0|158.0|0|0.0|100
0|2021-11-09|12048.0|0|12048.0|0|159.0|0|0.0|100
