|dates|Esmeralda_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Esmeralda_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Esmeralda_Nevada_UnitedStates.Male_Total_Population.data|Esmeralda_Nevada_UnitedStates.Male_Total_Population.missing|Esmeralda_Nevada_UnitedStates.Female_Total_Population.data|Esmeralda_Nevada_UnitedStates.Female_Total_Population.missing|Esmeralda_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Esmeralda_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-18|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-19|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-20|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-21|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-22|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-23|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-24|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-25|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-26|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-27|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-28|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-29|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-30|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-10-31|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-01|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-02|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-03|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-04|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-05|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-06|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-07|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-08|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-09|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-10|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-11|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-12|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-13|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-14|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-15|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-16|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-17|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-18|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-19|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-20|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-21|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-22|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-23|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-24|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-25|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-26|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-27|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-28|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-29|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-11-30|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-01|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-02|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-03|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-04|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-05|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-06|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-07|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-08|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-09|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-10|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-11|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-12|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-13|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-14|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-15|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-16|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-17|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-18|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-19|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-20|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-21|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-22|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-23|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-24|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-25|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-26|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-27|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-28|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-29|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-30|304.0|0|456.0|0|370.0|0|126.0|0
0|2021-12-31|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-01|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-02|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-03|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-04|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-05|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-06|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-07|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-08|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-09|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-10|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-11|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-12|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-13|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-14|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-15|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-16|304.0|0|456.0|0|370.0|0|126.0|0
0|2022-01-17|304.0|0|456.0|0|370.0|0|126.0|0
