|dates|Grand_Utah_UnitedStates.JHU_ConfirmedCases.data|Grand_Utah_UnitedStates.JHU_ConfirmedCases.missing|Grand_Utah_UnitedStates.NYT_ConfirmedCases.data|Grand_Utah_UnitedStates.NYT_ConfirmedCases.missing|Grand_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Grand_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Grand_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Grand_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1.0|0|1367.0|0|0.0|0|0.0|100
0|2021-10-18|1.0|0|1367.0|0|0.0|0|0.0|100
0|2021-10-19|1.0|0|1380.0|0|0.0|0|0.0|100
0|2021-10-20|1.0|0|1386.0|0|0.0|0|0.0|100
0|2021-10-21|1.0|0|1392.0|0|0.0|0|0.0|100
0|2021-10-22|1.0|0|1396.0|0|0.0|0|0.0|100
0|2021-10-23|1.0|0|1400.0|0|0.0|0|0.0|100
0|2021-10-24|1.0|0|1400.0|0|0.0|0|0.0|100
0|2021-10-25|1.0|0|1400.0|0|0.0|0|0.0|100
0|2021-10-26|1.0|0|1409.0|0|0.0|0|0.0|100
0|2021-10-27|1.0|0|1415.0|0|0.0|0|0.0|100
0|2021-10-28|1.0|0|1419.0|0|0.0|0|0.0|100
0|2021-10-29|1.0|0|1427.0|0|0.0|0|0.0|100
0|2021-10-30|1.0|0|1436.0|0|0.0|0|0.0|100
0|2021-10-31|1.0|0|1436.0|0|0.0|0|0.0|100
0|2021-11-01|1.0|0|1436.0|0|0.0|0|0.0|100
0|2021-11-02|1.0|0|1449.0|0|0.0|0|0.0|100
0|2021-11-03|1.0|0|1462.0|0|0.0|0|0.0|100
0|2021-11-04|1.0|0|1471.0|0|0.0|0|0.0|100
0|2021-11-05|1.0|0|1473.0|0|0.0|0|0.0|100
0|2021-11-06|1.0|0|1477.0|0|0.0|0|0.0|100
0|2021-11-07|1.0|0|1477.0|0|0.0|0|0.0|100
0|2021-11-08|1.0|0|1477.0|0|0.0|0|0.0|100
0|2021-11-09|1.0|0|1482.0|0|0.0|0|0.0|100
