|dates|Washington_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Ohio_UnitedStates.Male_Total_Population.data|Washington_Ohio_UnitedStates.Male_Total_Population.missing|Washington_Ohio_UnitedStates.Female_Total_Population.data|Washington_Ohio_UnitedStates.Female_Total_Population.missing|Washington_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-18|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-19|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-20|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-21|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-22|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-23|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-24|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-25|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-26|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-27|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-28|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-29|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-30|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-10-31|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-01|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-02|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-03|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-04|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-05|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-06|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-07|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-08|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-09|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-10|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-11|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-12|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-13|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-14|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-15|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-16|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-17|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-18|12663.0|0|29533.0|0|30622.0|0|11844.0|0
0|2021-11-19|12663.0|0|29533.0|0|30622.0|0|11844.0|0
