|dates|Collingsworth_Texas_UnitedStates.JHU_ConfirmedCases.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedCases.missing|Collingsworth_Texas_UnitedStates.NYT_ConfirmedCases.data|Collingsworth_Texas_UnitedStates.NYT_ConfirmedCases.missing|Collingsworth_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Collingsworth_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-18|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-19|389.0|0|389.0|0|11.0|0|0.0|100
0|2021-10-20|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-21|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-22|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-23|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-24|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-25|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-26|391.0|0|391.0|0|11.0|0|0.0|100
0|2021-10-27|391.0|0|391.0|0|11.0|0|0.0|100
0|2021-10-28|391.0|0|391.0|0|11.0|0|0.0|100
0|2021-10-29|391.0|0|391.0|0|11.0|0|0.0|100
0|2021-10-30|397.0|0|397.0|0|11.0|0|0.0|100
0|2021-10-31|397.0|0|397.0|0|11.0|0|0.0|100
0|2021-11-01|397.0|0|397.0|0|11.0|0|0.0|100
0|2021-11-02|398.0|0|398.0|0|11.0|0|0.0|100
0|2021-11-03|399.0|0|399.0|0|11.0|0|0.0|100
0|2021-11-04|403.0|0|403.0|0|11.0|0|0.0|100
0|2021-11-05|404.0|0|404.0|0|11.0|0|0.0|100
0|2021-11-06|404.0|0|404.0|0|11.0|0|0.0|100
0|2021-11-07|404.0|0|404.0|0|11.0|0|0.0|100
0|2021-11-08|404.0|0|404.0|0|11.0|0|0.0|100
0|2021-11-09|409.0|0|409.0|0|11.0|0|0.0|100
